"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
2019	"EVALUATION OF COMMERCIAL FORENSIC DNA EXTRACTION KITS FOR DECONTAMINATION AND EXTRACTION OF DNA FROM BIOLOGICAL SAMPLES CONTAMINATED WITH RADIONUCLIDES"	"TOOLE K;ROFFEY P;YOUNG E;CHO T;SMITH M;BLAGOJEVIC N"	"NUCLEAR FORENSICS; DNA INVESTIGATOR; CHARGESWITCH (R); DNA IQ (TM); RADIOACTIVE CONTAMINATION; GAMMA SPECTROMETRY"	"LATENT FINGERPRINTS; RADIATION; FINGERMARKS; RECOVERY; FIBERS"	"TOOLE, K (CORRESPONDING AUTHOR), ANSTO, LOCKED BAG 2001, KIRRAWEE DC, NSW 2232, AUSTRALIA; TOOLE, KAITLYN; YOUNG, EMMA; SMITH, MICHAEL; BLAGOJEVIC, NED, ANSTO, LOCKED BAG 2001, KIRRAWEE DC, NSW 2232, AUSTRALIA; ROFFEY, PAUL; CHO, KAYMANN; SHAW, TIMOTHY, AUSTRALIAN FED POLICE, GPO BOX 401, CANBERRA, ACT 2601, AUSTRALIA"	"10.1016/j.forsciint.2019.06.025"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2019	"FORENSIC - PATHOLOGICAL SEM/EDX ANALYSIS IN PROSECUTION OF MEDICAL MALPRACTICE"	"MIGLIORINI AS;BAILO P;BORACCHI GDL;GENTILE G;ZOJA R"	"LATROGENIC FOREIGN BODY; FORENSIC PATHOLOGY; AUTOPSY; MALPRACTICE; SEM/EDX ANALYSIS"	"RETAINED SURGICAL SPONGE; X-RAY SPECTROSCOPY; FOREIGN-BODIES;; GOSSYPIBOMA; RESIDUES; MICROTRACES; DIAGNOSIS; WEAPON; SKIN"	"ZOJA, R (CORRESPONDING AUTHOR), UNIV MILAN, LAB ISTOPATOL FORENSE \& MICROBIOL MED LEGALE, SEZ MED LEGATE \& ASSICURAZ, DIPARTIMENTO SCI BIOMED SALUTE, VIA LUIGI MANGIAGALLI 37, I-20133 MILAN, ITALY; MIGLIORINI, ARNALDO STANISLAO, UNIV VITA SALUTE SAN RAFFAELE, MILAN, ITALY; BORACCHI, MICHELE; CRUDELE, GRAZIANO DOMENICO LUIGI; GENTILE, GUENDALINA; ZOJA, RICCARDO, UNIV MILAN, LAB ISTOPATOL FORENSE \& MICROBIOL MED LEGALE, SEZ MED LEGATE \& ASSICURAZ, DIPARTIMENTO SCI BIOMED SALUTE, VIA LUIGI MANGIAGALLI 37, I-20133 MILAN, ITALY; BAILO, PAOLO, UNIV MILAN, FORENS GENET LAB, SEZ MED LEGATE \& ASSICURAZ, DIPARTIMENTO SCI BIOMED SALUTE, VIA LUIGI MARTGIAGALLI 37, I-20133 MILAN, ITALY"	"10.1016/j.legalmed.2019.07.005"	"LEGAL MEDICINE"	"WebOfScience"	"ARTICLE"
2019	"FORENSIC CLASSIFICATION OF BLACK INKJET PRINTS USING FOURIER TRANSFORM NEAR-INFRARED SPECTROSCOPY AND LINEAR DISCRIMINANT ANALYSIS"	"ORAVEC M;BEGANOVIC A;GAL L;CEPPAN CW"	"FORENSIC SCIENCE; DOCUMENT; CHEMOMETRICS; LDA; SPECTROSCOPY"	"RAMAN-SPECTROSCOPY; INKS; TONERS; CHROMATOGRAPHY; ORIGIN; TEA; MS"	"ORAVEC, M (CORRESPONDING AUTHOR), SLOVAK UNIV TECHNOL BRATISLAVA, FAC CHEM \& FOOD TECHNOL, RADLINSKEHO 9, BRATISLAVA 81237, SLOVAKIA; ORAVEC, MICHAL; GAL, LUKAS; CEPPAN, MICHAL, SLOVAK UNIV TECHNOL BRATISLAVA, FAC CHEM \& FOOD TECHNOL, RADLINSKEHO 9, BRATISLAVA 81237, SLOVAKIA; BEGANOVIC, ANEL; HUCK, CHRISTIAN W, LEOPOLD FRANZENS UNIV, INST ANALYT CHEM \& RADIOCHEM, CCB, INNRAIN 80-82, A-6020 INNSBRUCK, AUSTRIA"	"10.1016/j.forsciint.2019.03.041"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2019	"FORENSIC COMPARISON OF AUTOMOTIVE ALUMINUM WHEEL FRAGMENTS USING SYNCHROTRON RADIATION X-RAY FLUORESCENCE WITH 18-AND 116-KEV EXCITATION X-RAYS"	"NISHIWAKI Y;TAKEKAWA T"	"FORENSIC SCIENCE; NONDESTRUCTIVE DISCRIMINATION; AUTOMOTIVE ALUMINUM; WHEEL; SYNCHROTRON RADIATION; X-RAY FLUORESCENCE SPECTROMETRY; TRACE; ELEMENT"	"INDUCTIVELY-COUPLED PLASMA; NONDESTRUCTIVE DISCRIMINATION; PAINT; FRAGMENTS; SHEET ALLOY; SPECTROMETRY; SAMPLES; FIBERS; XRF"	"NISHIWAKI, Y (CORRESPONDING AUTHOR), KOCHI UNIV, FAC EDUC, 2-5-1 AKEBONO CHO, KOCHI, KOCHI 7808520, JAPAN; NISHIWAKI, YOSHINORI; TAKEKAWA, TOMOHIRO, KOCHI UNIV, FAC EDUC, 2-5-1 AKEBONO CHO, KOCHI, KOCHI 7808520, JAPAN"	"10.1111/1556-4029.13974"	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2019	"FORENSIC EXAMINATION OF TEXTILE FIBERS USING UV-VIS SPECTROSCOPY COMBINED WITH MULTIVARIATE ANALYSIS"	"SHARMA V;KUMAR R;KAUR P"	"TEXTILE FIBER; CHEMOMETRICS; UV-VIS SPECTROSCOPY; FORENSIC; WELCH'S; T-TEST"	"THIN-LAYER-CHROMATOGRAPHY; REACTIVE DYES; RAMAN-SPECTROSCOPY; COTTON; FIBERS; MICROSPECTROPHOTOMETRY; DISCRIMINATION; CHEMOMETRICS; SELECTION;; WOOL; TOOL"	"SHARMA, V (CORRESPONDING AUTHOR), PANJAB UNIV, INST FORENS SCI \& CRIMINOL, CHANDIGARH, UT, INDIA; SHARMA, VISHAL; KUMAR, RAJ; KAUR, PAWANDEEP, PANJAB UNIV, INST FORENS SCI \& CRIMINOL, CHANDIGARH, UT, INDIA"	"10.1007/s10812-019-00787-4"	"JOURNAL OF APPLIED SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
2019	"FORENSICS: EVIDENCE EXAMINATION VIA RAMAN SPECTROSCOPY"	"FIKIET MA;KHANDASAMMY SR;MISTEK E;HALAMKOVA L;BUENO J;LEDNEV IK"	"FORENSICS; CRIMINALISTICS; TRACE EVIDENCE; BLOODSTAIN; BIOLOGICAL STAIN; GUNSHOT RESIDUE; CHEMOMETRICS; COUNTERFEIT PHARMACEUTICALS; CONTROLLED; SUBSTANCE; TOXICOLOGY; EXPLOSIVE; QUESTIONED DOCUMENT; TRACE ANALYSIS; FIBER; HAIR"	"LIKELIHOOD RATIO APPROACH; BALLPOINT-PEN INKS; INFRARED-SPECTROSCOPY;; RACE DIFFERENTIATION; MASS-SPECTROMETRY; GUNSHOT RESIDUE;; IDENTIFICATION; BLOOD; FIBERS; DISCRIMINATION"	"LEDNEV, IK (CORRESPONDING AUTHOR), SUNY ALBANY, DEPT CHEM, 1400 WASHINGTON AVE, ALBANY, NY 12222 USA; FIKIET, MARISIA A; KHANDASAMMY, SHELBY R; MISTEK, EWELINA; AHMED, YASMINE; HALAMKOVA, LENKA; BUENO, JUSTIN; LEDNEV, IGOR K, SUNY ALBANY, DEPT CHEM, 1400 WASHINGTON AVE, ALBANY, NY 12222 USA"	"10.1515/psr-2017-0049"	"PHYSICAL SCIENCES REVIEWS"	"WebOfScience"	"ARTICLE"
2019	"FRAGRANCE TRANSFER BETWEEN FABRICS FOR FORENSIC RECONSTRUCTION APPLICATIONS"	"GHERGHEL S;MORGAN RM;ARREBOLA-LIEBANAS JF;BLACKMAN CS;PARKIN IP"	"FORENSIC RECONSTRUCTION; VOLATILE ORGANIC COMPOUNDS (VOCS); TRACE; EVIDENCE; PERFUME ANALYSIS; EXPERIMENTAL STUDIES; TRANSFER"	"SIMULATED CONTACTS; CLOTHING MATERIALS; PERSISTENCE; FIBERS; HAIR; WEAR;; GLASS; MS"	"GHERGHEL, S (CORRESPONDING AUTHOR), UCL DEPT SECUR \& CRIME SCI, 35 TAVISTOCK SQ, LONDON WC1H 9EZ, ENGLAND; GHERGHEL, S (CORRESPONDING AUTHOR), UCL CTR FORENS SCI, 35 TAVISTOCK SQ, LONDON WC1H 9EZ, ENGLAND; GHERGHEL, S (CORRESPONDING AUTHOR), UNIV ALMERIA, RES CTR AGR \& FOOD BIOTECHNOL BITAL, DEPT CHEM \& PHYS, RES GRP ANALYT CHEM CONTAMINANTS, AGRIFOOD CAMPUS INT EXCELLENCE,CEIA3, E-04120 ALMERIA, SPAIN; GHERGHEL, S (CORRESPONDING AUTHOR), UCL DEPT CHEM, 20 GORDON ST, LONDON WC1H 0AJ, ENGLAND; GHERGHEL, SIMONA; MORGAN, RUTH M, UCL DEPT SECUR \& CRIME SCI, 35 TAVISTOCK SQ, LONDON WC1H 9EZ, ENGLAND; GHERGHEL, SIMONA; MORGAN, RUTH M, UCL CTR FORENS SCI, 35 TAVISTOCK SQ, LONDON WC1H 9EZ, ENGLAND; GHERGHEL, SIMONA; ARREBOLA-LIEBANAS, JAVIER F, UNIV ALMERIA, RES CTR AGR \& FOOD BIOTECHNOL BITAL, DEPT CHEM \& PHYS, RES GRP ANALYT CHEM CONTAMINANTS, AGRIFOOD CAMPUS INT EXCELLENCE,CEIA3, E-04120 ALMERIA, SPAIN; GHERGHEL, SIMONA; BLACKMAN, CHRIS S; PARKIN, IVAN P, UCL DEPT CHEM, 20 GORDON ST, LONDON WC1H 0AJ, ENGLAND"	"10.1016/j.scijus.2019.02.002"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2019	"HIGH TENSION ELECTROCUTION DEATH: NEW HISTOPATHOLOGICAL CARDIAC TOOLS BY CONFOCAL LASER SCANNING MICROSCOPE"	"DE DONNO A;FAVIA M;MARZULLO A;MELE F;INTRONA F"	"ELECTROCUTION; HEART; CARDIAC NERVES; HISTOLOGY; CONFOCAL LASER SCANNING; MICROSCOPE (CLSM); FLUORESCENCE"	NA	"FAVIA, M (CORRESPONDING AUTHOR), UNIV BARI, DEPT LEGAL MED, PIAZZA G CESARE 11, I-70124 BARI, ITALY; DE DONNO, ANTONIO; FAVIA, MATTEO; MELE, FEDERICA; INTRONA, FRANCESCO, UNIV BARI, DEPT LEGAL MED, PIAZZA G CESARE 11, I-70124 BARI, ITALY; MARZULLO, ANDREA, UNIV BARI ALDO MORO, SECT PATHOL ANAT, DEPT EMERGENCY \& ORGAN TRANSPLANTAT, BARI, ITALY"	"10.1016/j.jflm.2019.07.005"	"JOURNAL OF FORENSIC AND LEGAL MEDICINE"	"WebOfScience"	"ARTICLE"
2019	"HIGHLY PREDICTIVE GENETIC MARKERS DISTINGUISH DRUG-TYPE FROM FIBER-TYPE CANNABIS SATIVA L."	"CASCINI F;FARCOMENI A;MIGLIORINI L;BOSCHI I;MARTELLO S;AMADUCCI S;LUCINI L;BERNARDI J"	"SNPS; MARKERS; CANNABIS; THCAS; CBDAS; DRUG"	"FALSE DISCOVERY RATE; ACID-SYNTHASE; CANNABIGEROLIC ACID; CHEMICAL; PHENOTYPE; SEQUENCE ALIGNMENT; POLYMORPHISM; INHERITANCE; CHEMOTYPE;; MARIJUANA; ENZYME"	"BERNARDI, J (CORRESPONDING AUTHOR), UNIV CATTOLICA SACRO CUORE, DEPT SUSTAINABLE CROP PROD, I-29122 PIACENZA, ITALY; CASCINI, FIDELIA; BALDASSARRI, LAURA; BOSCHI, ILARIA; MARTELLO, SIMONA, UNIV CATTOLICA SACRO CUORE, INST PUBL HLTH, I-00168 ROME, ITALY; FARCOMENI, ALESSIO, UNIV ROMA TOR VERGATA, DEPT ECON \& FINANCE, I-00177 ROME, ITALY; MIGLIORINI, DANIELE, SAPIENZA UNIV ROME, DEPT COMP CONTROL \& MANAGEMENT ENGN ANTONIO RUBER, I-00185 ROME, ITALY; AMADUCCI, STEFANO; BERNARDI, JAMILA, UNIV CATTOLICA SACRO CUORE, DEPT SUSTAINABLE CROP PROD, I-29122 PIACENZA, ITALY; LUCINI, LUIGI, UNIV CATTOLICA SACRO CUORE, DEPT SUSTAINABLE FOOD PROC, I-29122 PIACENZA, ITALY"	"10.3390/plants8110496"	"PLANTS-BASEL"	"WebOfScience"	"ARTICLE"
2019	"IDENTIFICATION OF SOME FACTORS INFLUENCING SOIL TRANSFER ON SHOES"	"WERNER D;BURNIER C;YU Y;MAROLF AR;WANG Y;MASSONNET G"	"FORENSIC GEOLOGY; SOIL FORENSIC; EXPERIMENTAL DESIGN"	"SIMULATED CONTACTS; CLOTHING MATERIALS; PART 1; FIBERS; GLASS;; PERSISTENCE; OPTIMIZATION; INDIVIDUALS; REPLACEMENT; PARTICLES"	"MASSONNET, G (CORRESPONDING AUTHOR), UNIV LAUSANNE, ECOLE SCI CRIMINELLES, BATIMENT BATOCHIME, CH-1015 LAUSANNE, SWITZERLAND; WERNER, DENIS; BURNIER, CELINE; MAROLF, ANDRE R; MASSONNET, GENEVIEVE, UNIV LAUSANNE, ECOLE SCI CRIMINELLES, BATIMENT BATOCHIME, CH-1015 LAUSANNE, SWITZERLAND; YU, YINGCHAO; WANG, YUANFENG, CHINA UNIV POLIT SCI \& LAW, INST EVIDENCE LAW \& FORENS SCI, BEIJING, PEOPLES R CHINA; WANG, YUANFENG, MINIST EDUC, KEY LAB EVIDENCE SCI, BEIJING, PEOPLES R CHINA"	"10.1016/j.scijus.2019.07.004"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2019	"IMPACT SPATTER BLOODSTAIN PATTERNS ON TEXTILES"	"WU J;MICHIELSEN S;BABY R"	"FORENSIC SCIENCE; IMPACT SPATTER; BLOODSTAIN PATTERN ANALYSIS; TEXTILES; RATTRAP; PORCINE BLOOD"	NA	"MICHIELSEN, S (CORRESPONDING AUTHOR), N CAROLINA STATE UNIV, TEXT ENGN CHEM \& SCI, COLL TEXT, 1020 MAIN CAMPUS DR, RALEIGH, NC 27695 USA; WU, JIAYING; MICHIELSEN, STEPHEN; BABY, RUKSANA, N CAROLINA STATE UNIV, TEXT ENGN CHEM \& SCI, COLL TEXT, 1020 MAIN CAMPUS DR, RALEIGH, NC 27695 USA"	"10.1111/1556-4029.13951"	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2019	"INFANT SKULL FRACTURES: ACCIDENT OR ABUSE? EVIDENCES FROM BIOMECHANICAL ANALYSIS USING FINITE ELEMENT HEAD MODELS"	"LI X;SANDLER H;KLEIVEN S"	"ABUSIVE HEAD TRAUMA; MULTIPLE SKULL FRACTURES; FINITE ELEMENT HEAD; MODEL; OSSIFICATION CENTERS; IMPACT LOCATION"	"TRAUMATIC BRAIN-INJURIES; IMPACT; CHILDREN; TISSUE; FALL; PREDICTION;; SUTURE"	"LI, XG (CORRESPONDING AUTHOR), ROYAL INST TECHNOL KTH, SCH TECHNOL \& HLTH, DIV NEURON ENGN, S-14152 HUDDINGE, SWEDEN; LI, XIAOGAI; KLEIVEN, SVEIN, ROYAL INST TECHNOL KTH, SCH TECHNOL \& HLTH, DIV NEURON ENGN, S-14152 HUDDINGE, SWEDEN; SANDLER, HAKAN, UPPSALA UNIV, DEPT SURG SCI FORENS MED, UPPSALA, SWEDEN; SANDLER, HAKAN, NATL BOARD FORENS MED, UPPSALA, SWEDEN"	"10.1016/j.forsciint.2018.11.008"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2019	"INTIMOMEDIAL MUCOID ARTERIAL DEGENERATION, A RARE ARTERIAL DISORDER OF FORENSIC SIGNIFICANCE"	"WISKOTT K;GENET P;LOBRINUS JA;FRACASSO T;LARDI C"	"AORTIC ANEURYSM; NON-ATHEROSCLEROTIC ANEURYSM; INTIMOMEDIAL MUCOID; DEGENERATION (IMMD); MUCOID EXTRACELLULAR MATRIX ACCUMULATION (MEMA)"	"AORTIC-ANEURYSMS; NOMENCLATURE; DIAMETERS; DISEASES"	"WISKOTT, K (CORRESPONDING AUTHOR), UNIV CTR LEGAL MED, RUE MICHEL SERVET 1, CH-1205 GENEVA, SWITZERLAND; WISKOTT, KIM; GENET, PIA; FRACASSO, TONY; LARDI, CHRISTELLE, UNIV CTR LEGAL MED, RUE MICHEL SERVET 1, CH-1205 GENEVA, SWITZERLAND; LOBRINUS, JOHANNES A, GENEVA UNIV HOSP, CLIN PATHOL DIV, RUE MICHEL SERVET 1, CH-1205 GENEVA, SWITZERLAND"	"10.1007/s12024-019-00154-x"	"FORENSIC SCIENCE MEDICINE AND PATHOLOGY"	"WebOfScience"	"ARTICLE"
2019	"INVESTIGATING THE EFFECT PHOTODEGRADATION HAS ON NATURAL FIBRES AT A MICROSCOPIC LEVEL"	"DEBATTISTA R;TIDY H;CLARK M"	"FORENSIC SCIENCE; FIBRE EXAMINATION; PHOTODEGRADATION"	"WOOL; PHOTOOXIDATION; POPULATION; TRYPTOPHAN; RAMAN"	"TIDY, H (CORRESPONDING AUTHOR), TEESSIDE UNIV, SCH SCI ENGN \& DESIGN, MIDDLESBROUGH TS1 3BX, CLEVELAND, ENGLAND; DEBATTISTA, ROSLYN; TIDY, HELEN, TEESSIDE UNIV, SCH SCI ENGN \& DESIGN, MIDDLESBROUGH TS1 3BX, CLEVELAND, ENGLAND; CLARK, MATTHEW, UNIV LEEDS, SCH CHEM, LEEDS LS2 9JT, W YORKSHIRE, ENGLAND"	"10.1016/j.scijus.2019.04.002"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2019	"IS THIS YOUR GLITTER? AN OVERLOOKED BUT POTENTIALLY ENVIRONMENTALLY-VALUABLE MICROPLASTIC"	"TAGG AS;DO SUL JAI"	"MARINE POLLUTION; FORENSIC SCIENCE; TRACKING PLASTIC SOURCES; MICROBEADS; COSMETIC PRODUCTS"	"PARTICLES"	"DO SUL, JAI (CORRESPONDING AUTHOR), LELHNIZ INST BALTIC SEA RES IOW, SEESTR 15, D-18119 ROSTOCK, GERMANY; TAGG, ALEXANDER S; DO SUL, JULIANA A IVAR, LELHNIZ INST BALTIC SEA RES IOW, SEESTR 15, D-18119 ROSTOCK, GERMANY"	"10.1016/j.marpolbul.2019.05.068"	"MARINE POLLUTION BULLETIN"	"WebOfScience"	"ARTICLE"
2019	"METHOD DEVELOPMENT FOR CONTACTLESS RESONANT CAVITY DIELECTRIC SPECTROSCOPIC STUDIES OF CELLULOSIC PAPER"	"KOMBOLIAS M;OBRZUT J;POSTEK MT;POSTER DL;OBENG YS"	"ENGINEERING; ISSUE 152; RESONANT CAVITY; DIELECTRIC SPECTROSCOPY; PAPER; FIBER ANALYSIS; PAPER AGING; RECYCLED CONTENT"	"BACKGROUND POPULATION; FORENSIC ANALYSIS; FIBER; PULP; DISCRIMINATION;; HOMOGENEITY; MOISTURE"	"KOMBOLIAS, M (CORRESPONDING AUTHOR), US GOVT PUBLISHING OFF, PLANT OPERAT, TESTING \& TECH SERV, WASHINGTON, DC 20401 USA; OBENG, YS (CORRESPONDING AUTHOR), NIST, NANOSCALE DEVICE CHARACTERIZAT DIV, PHYS MEASUREMENT LAB, GAITHERSBURG, MD 20899 USA; KOMBOLIAS, MARY, US GOVT PUBLISHING OFF, PLANT OPERAT, TESTING \& TECH SERV, WASHINGTON, DC 20401 USA; OBRZUT, JAN; POSTER, DIANNE L, NIST, MAT MEASUREMENT LAB, GAITHERSBURG, MD 20899 USA; POSTEK, MICHAEL T; OBENG, YAW S, NIST, NANOSCALE DEVICE CHARACTERIZAT DIV, PHYS MEASUREMENT LAB, GAITHERSBURG, MD 20899 USA; POSTEK, MICHAEL T, UNIV S FLORIDA, COLL PHARM, TAMPA, FL 33620 USA"	"10.3791/59991"	"JOVE-JOURNAL OF VISUALIZED EXPERIMENTS"	"WebOfScience"	"ARTICLE"
2019	"MICROEXTRACTION SAMPLE PREPARATION TECHNIQUES IN FORENSIC ANALYTICAL TOXICOLOGY"	"HE Y;CONCHEIRO-GUISAN M"	"BIOLOGICAL MATRICES; FORENSIC TOXICOLOGY; MICROEXTRACTION; SAMPLE; PREPARATION"	"SOLID-PHASE MICROEXTRACTION; LIQUID-LIQUID MICROEXTRACTION;; CHROMATOGRAPHY-MASS-SPECTROMETRY; VOLATILE ORGANIC-COMPOUNDS; BAR; SORPTIVE EXTRACTION; AMPHETAMINE-TYPE STIMULANTS; HUMAN PLASMA; PACKED; SORBENT; WHOLE-BLOOD; PSYCHOACTIVE SUBSTANCES"	"HE, Y (CORRESPONDING AUTHOR), CUNY, DEPT SCI, JOHN JAY COLL CRIMINAL JUSTICE, 524 W59TH ST, NEW YORK, NY 10021 USA; HE, YI; CONCHEIRO-GUISAN, MARTA, CUNY, DEPT SCI, JOHN JAY COLL CRIMINAL JUSTICE, 524 W59TH ST, NEW YORK, NY 10021 USA"	"10.1002/bmc.4444"	"BIOMEDICAL CHROMATOGRAPHY"	"WebOfScience"	"REVIEW"
2019	"MICROSCOPIC CHARACTERISTICS OF SCALP HAIR SUBJECTED TO CULTURAL STYLING METHODS IN GHANAIAN AFRICAN FEMALES"	"ESSEL EA;AHENKORAH J;BLAY RM;ADUTWUM-OFOSU KK;HOTTOR BA;ADDAI FK"	"SKIN APPENDAGE; INTEGUMENT; STRAND GROOMING; FIBER SCALES; AFRO HAIR"	"CARE PRACTICES; AMERICAN"	"ADDAI, FK (CORRESPONDING AUTHOR), UNIV GHANA, DEPT ANAT, SCH BIOMED \& ALLIED SCI, COLL HLTH SCI, POB KB 143,KORLE BU CAMPUS, ACCRA, GHANA; ESSEL, ESTHER ADJOA; AHENKORAH, JOHN; BLAY, RICHARD MICHAEL; ADJENTI, SAVIOUR KWEKU; ADUTWUM-OFOSU, KEVIN KOFI; HOTTOR, BISMARCK AFEDO; ADDAI, FREDERICK KWAKU, UNIV GHANA, DEPT ANAT, SCH BIOMED \& ALLIED SCI, COLL HLTH SCI, POB KB 143,KORLE BU CAMPUS, ACCRA, GHANA"	"10.2147/CCID.S225627"	"CLINICAL, COSMETIC AND INVESTIGATIONAL DERMATOLOGY"	"WebOfScience"	"ARTICLE"
2019	"MODERN APPROACHES TO PREPARATION OF BODY FLUIDS FOR DETERMINATION OF BIOACTIVE COMPOUNDS"	"MADEJ K;PIEKOSZEWSKI W"	"MICROEXTRACTION TECHNIQUES; BODY FLUIDS; BIOACTIVE COMPOUNDS; CLINICAL; AND FORENSIC ANALYSIS"	"SOLID-PHASE MICROEXTRACTION; LIQUID-LIQUID MICROEXTRACTION; SINGLE-DROP; MICROEXTRACTION; MONOLITHIC PACKED 96-TIPS; SAMPLE PREPARATION; HUMAN; PLASMA; MASS-SPECTROMETRY; WHOLE-BLOOD; AQUEOUS SAMPLES; URINE SAMPLES"	"MADEJ, K (CORRESPONDING AUTHOR), JAGIELLONIAN UNIV, FAC CHEM, DEPT ANALYT CHEM, PL-30387 KRAKOW, POLAND; MADEJ, KATARZYNA; PIEKOSZEWSKI, WOJCIECH, JAGIELLONIAN UNIV, FAC CHEM, DEPT ANALYT CHEM, PL-30387 KRAKOW, POLAND; PIEKOSZEWSKI, WOJCIECH, FAR EASTERN FED UNIV, SCH BIOMED, DEPT FOOD SCI \& TECHNOL, VLADIVOSTOK 690950, RUSSIA"	"10.3390/separations6040053"	"SEPARATIONS"	"WebOfScience"	"REVIEW"
2019	"MOLECULARLY IMPRINTED POLYMER MATERIALS AS SELECTIVE RECOGNITION SORBENTS FOR EXPLOSIVES: A REVIEW"	"ZAREJOUSHEGHANI M;LORENZ W;VANNINEN T;CAEMMERER M;BORSDORF H"	"MOLECULARLY IMPRINTED POLYMER; EXPLOSIVE; EXPLOSIVE MARKER; NITROAROMATIC COMPOUNDS; TRINITROTOLUENE; TNT; DINITROTOLUENE; TRINITROPHENOL; SENSORS; SAMPLE PREPARATION"	"SURFACE-PLASMON RESONANCE; GLASSY-CARBON ELECTRODE; SOLID-PHASE; EXTRACTION; AU NANOPARTICLES; ELECTROCHEMICAL DETECTION; NITROAROMATIC; EXPLOSIVES; VOLTAMMETRIC SENSOR; OPTICAL-FIBER; TNT; WATER"	"ZAREJOUSHEGHANI, M (CORRESPONDING AUTHOR), UFZ HELMHOLTZ CTR ENVIRONM RES, DEPT MONITORING \& EXPLORAT TECHNOL, PERMOSERSTR 15, D-04318 LEIPZIG, GERMANY; ZAREJOUSHEGHANI, MASHAALAH; CAEMMERER, MALCOLM; BORSDORF, HELKO, UFZ HELMHOLTZ CTR ENVIRONM RES, DEPT MONITORING \& EXPLORAT TECHNOL, PERMOSERSTR 15, D-04318 LEIPZIG, GERMANY; LORENZ, WILHELM, MARTIN LUTHER UNIV HALLE WITTENBERG, INST CHEM FOOD CHEM \& ENVIRONM CHEM, D-06120 HALLE, GERMANY; VANNINEN, PAULA, UNIV HELSINKI, DEPT CHEM, FINNISH INST VERIFICAT CHEM WEAP CONVENT, VERIFIN, FI-00014 HELSINKI, FINLAND; ALIZADEH, TAHER, UNIV TEHRAN, UNIV COLL SCI, FAC CHEM, DEPT ANALYT CHEM, TEHRAN 1417466191, IRAN"	"10.3390/polym11050888"	"POLYMERS"	"WebOfScience"	"REVIEW"
2019	"NEW INSIGHT INTO HELLENISTIC AND ROMAN CYPRIOT WALL PAINTINGS: AN EXPLORATION OF ARTISTS' MATERIALS, PRODUCTION TECHNOLOGY, AND TECHNICAL STYLE"	"RADPOUR R;FISCHER C;KAKOULLI I"	"HELLENISTIC AND ROMAN WALL PAINTINGS; CYPRIOT WALL PAINTINGS; NEA; PAPHOS; CYPRUS; NATURAL AND SYNTHETIC PIGMENTS; EGYPTIAN BLUE; FORENSIC; IMAGING; PIGMENT MAPPING; SPECTROSCOPY; ARCHAEOMETRY"	"EGYPTIAN BLUE; PIGMENTS; CYPRUS"	"RADPOUR, R (CORRESPONDING AUTHOR), UNIV CALIF LOS ANGELES, MAT SCI \& ENGN DEPT, HSSEAS, LOS ANGELES, CA 90095 USA; RADPOUR, R (CORRESPONDING AUTHOR), UNIV CALIF LOS ANGELES, MOL \& NANO ARCHAEOL LAB, HSSEAS, LOS ANGELES, CA 90095 USA; RADPOUR, ROXANNE; KAKOULLI, IOANNA, UNIV CALIF LOS ANGELES, MAT SCI \& ENGN DEPT, HSSEAS, LOS ANGELES, CA 90095 USA; RADPOUR, ROXANNE; FISCHER, CHRISTIAN; KAKOULLI, IOANNA, UNIV CALIF LOS ANGELES, MOL \& NANO ARCHAEOL LAB, HSSEAS, LOS ANGELES, CA 90095 USA; FISCHER, CHRISTIAN; KAKOULLI, IOANNA, UNIV CALIF LOS ANGELES, UCLA GETTY CONSERVAT PROGRAM, LOS ANGELES, CA 90095 USA"	"10.3390/arts8020074"	"ARTS"	"WebOfScience"	"ARTICLE"
