"TI"	"PY"	"AU"	"DOI"	"IDW"	"IDS"	"C1W"	"C1S"	"Coder"	"DT"	"SO"	"AK"
"IDENTIFICATION OF DYES ON SINGLE TEXTILE FIBERS BY HPLC-DAD-MS"	2013	"CAREY A;RODEWIJK N;XU X;VAN DER WEERD J"	"10.1021/ac402173e"	"RAMAN-SPECTROSCOPY; CHROMATOGRAPHY; COTTON; EXTRACTION"	"ABSORBANCE SPECTRUM;  FORENSIC ANALYSIS;  HIGHLY STABLES;  INFORMATION CONTENTS;  LIMIT OF DETECTION;  REPEATED MEASUREMENTS;  RETENTION TIME;  VALIDATION STUDY; CHEMICAL ANALYSIS;  CHEMISTRY; DYES"	"VAN DER WEERD, J (CORRESPONDING AUTHOR), NETHERLANDS FORENS INST, DEPT CHEM ANAL, POB 24044, NL-2490 AA THE HAGUE, NETHERLANDS; VAN DER WEERD, JAAP, NETHERLANDS FORENS INST, DEPT CHEM ANAL, NL-2490 AA THE HAGUE, NETHERLANDS; NETHERLANDS FORENS INST, DEPT MICROTRACES, NL-2490 AA THE HAGUE, NETHERLANDS"	"DEPARTMENTS OF CHEMICAL ANALYSIS AND MICROTRACES, NETHERLANDS FORENSIC INSTITUTE, P.O. BOX 24044, 2490AA THE HAGUE, NETHERLANDS"	"Scopus,WebOfScience"	"ARTICLE"	"ANALYTICAL CHEMISTRY"	""
"IDENTIFICATION OF MINERAL FIBERS IN THE LUNG [DIE IDENTIFIKATION VON FASERN IN DER LUNGE]"	1985	"RUTTNER JR;SPYCHER MA;STOLKIN I"	""	""	"ASBESTOS;  MINERAL FIBER; CLINICAL ARTICLE;  DIAGNOSIS;  ETIOLOGY;  FORENSIC MEDICINE;  HUMAN;  INTOXICATION;  LEGAL ASPECT;  LUNG;  MESOTHELIOMA;  METHODOLOGY;  RESPIRATORY SYSTEM;  SHORT SURVEY"	""	"UNIVERSITATSSPITAL, CH-8091 ZURICH, SWITZERLAND"	"Scopus"	"ARTICLE"	"ATEMWEGS- UND LUNGENKRANKHEITEN"	""
"IDENTIFICATION OF SINGLE ASBESTOS FIBRES IN HUMAN TISSUES"	1973	"LANGER AM;POOLEY FD"	""	""	"ANTHOPHYLLITE;  ASBESTOS;  ASBESTOS FIBER;  CHRYSOTILE;  CROCIDOLITE;  DIPHENHYDRAMINE;  TREMOLITE;  UNCLASSIFIED DRUG; ASBESTOSIS;  ELECTRON MICROSCOPY;  FORENSIC IDENTIFICATION;  HISTOLOGY;  HUMAN;  METHODOLOGY;  MICROSCOPY;  NORMAL HUMAN;  THEORETICAL STUDY;  TISSUE"	""	"ENVIRONM. SCI. LAB., MT SINAI SCH. MED., NEW YORK, N.Y., UNITED KINGDOM"	"Scopus"	"ARTICLE"	"IARC (INTERNATIONAL AGENCY FOR RESEARCH ON CANCER) SCIENTIFIC PUBLICATIONS"	""
"IDENTIFICATION OF SINGLE FIBERS BY X-RAY-DIFFRACTION IN FORENSIC ANALYSIS"	1981	"LYNCH BJ;KERRIGAN GC"	"10.1002/xrs.1300100411"	""	""	"LYNCH, BJ (CORRESPONDING AUTHOR), GOVT CHEM LABS,DIV FORENS CHEM,PERTH,WA,AUSTRALIA; WESTERN AUSTRALIAN INST TECHNOL,DEPT PHYS,S BENTLEY,WA 6102,AUSTRALIA"	""	"WebOfScience"	"ARTICLE"	"X-RAY SPECTROMETRY"	""
"IDENTIFICATION OF SINGLE FIBRES BY X-RAY DIFFRACTION IN FORENSIC ANALYSIS"	1981	"NA NA"	""	""	"DELUSTRING AGENTS;  FIBRE ANALYSIS;  FIBRES;  JUTE;  LINEN;  NYLON 6;  POLYACRYLONITRILE;  POLYESTER;  POLYPROPYLENE;  SPECIMEN PREPARATION;  TITANIUM DIOXIDE;  VISCOSE RAYON;  WOOL;  X RAY ANALYSIS"	""	""	"Scopus"	"ARTICLE"	"NA"	""
"IDENTIFICATION OF SINGLE FIBRES BY XRAY DIFFRACTION IN FORENSIC ANALYSIS"	1981	"LYNCH BJ;KERRIGAN GC"	"10.1002/xrs.1300100411"	""	""	""	"FORENSIC CHEMISTRY DIVISION, GOVERNMENT CHEMICAL LABORATORIES, PERTH, WESTERN AUSTRALIA, AUSTRALIA;DEPARTMENT OF PHYSICS, WESTERN AUSTRALIAN INSTITUTE OF TECHNOLOGY, BENTLEY, WESTERN AUSTRALIA, 6102, AUSTRALIA"	"Scopus"	"ARTICLE"	"XRAY SPECTROMETRY"	""
"IDENTIFICATION OF SPECIFIC ANIMAL HAIR FIBERS USING FORENSIC SCIENCE"	2017	"NAZI M"	""	""	""	""	"DEPARTMENT OF TEXTILE AND LEATHER, STANDARD RESEARCH INSTITUTE, KARAJ, IRAN"	"Scopus"	"CONFERENCE MATERIAL"	"FIBER SOCIETY 2017 SPRING CONFERENCE-NEXT GENERATION FIBERS FOR SMART PRODUCTS"	""
"IDENTIFICATION OF TEXTILE FIBERS"	2009	"HOUCK MM"	"10.1533/9781845695651"	""	""	""	"FORENSIC SCIENCE INITIATIVE, FORENSIC BUSINESS RESEARCH AND DEVELOPMENT, WEST VIRGINIA UNIVERSITY, MORGANTOWN, WV, UNITED STATES"	"Scopus"	"BOOK"	"IDENTIFICATION OF TEXTILE FIBERS"	""
"IMAGE PROCESSING USING COLOR SPACE MODELS FOR FORENSIC FIBER DETECTION"	2018	"WETZER E;LOHNINGER H"	"10.1016/j.ifacol.2018.03.076"	"RAMAN-SPECTROSCOPY"	"COLOR;  COLOR MATCHING;  DATA REDUCTION;  DIGITAL FORENSICS;  FIBERS;  IMAGE ANALYSIS;  IMAGE ENHANCEMENT;  IMAGE PROCESSING;  IMAGE SEGMENTATION;  MATHEMATICAL TRANSFORMATIONS;  OBJECT RECOGNITION;  OPTICAL DATA PROCESSING; COLOR CHANNELS;  GRAY-SCALE IMAGES;  LARGE AMOUNTS OF DATA;  MORPHOLOGICAL OPERATOR;  NONLINEAR TRANSFORMS;  OPTICAL MICROSCOPES;  SCIENCE APPLICATIONS;  SPECTROSCOPIC MEASUREMENTS; COLOR IMAGE PROCESSING"	"WETZER, E (CORRESPONDING AUTHOR), VIENNA UNIV TECHNOL, VIENNA, AUSTRIA; WETZER, E (CORRESPONDING AUTHOR), UPPSALA UNIV, UPPSALA, SWEDEN; WETZER, ELISABETH; LOHNINGER, HANS, VIENNA UNIV TECHNOL, VIENNA, AUSTRIA; WETZER, ELISABETH, UPPSALA UNIV, UPPSALA, SWEDEN"	"VIENNA UNIVERSITY OF TECHNOLOGY, UPPSALA UNIVERSITY, AUSTRIA;VIENNA UNIVERSITY OF TECHNOLOGY, VIENNA, AUSTRIA"	"Scopus,WebOfScience"	"CONFERENCE MATERIAL"	"NA;IFAC-PAPERSONLINE"	"IMAGE ANALYSIS;IMAGE SEGMENTATION;IMAGE PROCESSING;OBJECT;RECOGNITION;DATA REDUCTION;OBJECT RECOGNITION"
"IN SITU DETECTION AND IDENTIFICATION OF HAIR DYES USING SURFACE-ENHANCED RAMAN SPECTROSCOPY (SERS)"	2015	"KUROUSKI D;VAN DUYNE RP"	"10.1021/ac504405u"	"COLORANTS; PIGMENTS; FIBERS; TRACES; GLAZES; ART"	""	"VAN DUYNE, RP (CORRESPONDING AUTHOR), NORTHWESTERN UNIV, DEPT CHEM, 2145 SHERIDAN RD, EVANSTON, IL 60208 USA; KUROUSKI, DMITRY; VAN DUYNE, RICHARD P, NORTHWESTERN UNIV, DEPT CHEM, EVANSTON, IL 60208 USA"	""	"WebOfScience"	"ARTICLE"	"ANALYTICAL CHEMISTRY"	""
"IN SITU TRACE ANALYSIS OF OIL IN WATER WITH MID-INFRARED FIBEROPTIC CHEMICAL SENSORS"	2012	"LUZINOVA Y;ZDYRKO B;LUZINOV I;MIZAIKOFF B"	"10.1021/ac201664p"	"EXTRACTION COUPLED ONLINE; EVANESCENT-WAVE SENSORS; SOLID-PHASE; EXTRACTION; INFRARED-SPECTROSCOPY; PATTERN-RECOGNITION;; GAS-CHROMATOGRAPHY; PETROLEUM OIL; WASTE-WATER; IDENTIFICATION;; HYDROCARBONS"	"AQUEOUS ENVIRONMENT;  CHEMICAL SENSING;  CONCENTRATION LEVELS;  DIRECT DETECTION;  DIRECT SENSING;  EVANESCENT FIELDS;  FORENSIC ANALYSIS;  IN-SITU;  IR SIGNATURES;  MIDINFRARED;  OIL-IN-WATER;  OIL-IN-WATER EMULSIONS;  OPTICAL TRANSDUCERS;  SAMPLE PREPARATION;  SILVER HALIDE FIBERS;  SURFACE-MODIFIED;  TRACE AMOUNTS;  WAVEGUIDE SURFACES; CHEMICAL SENSORS;  CRUDE OIL;  EMULSIONS;  INFRARED DEVICES;  POLYBUTADIENES;  TRACE ANALYSIS; DEIONIZED WATER; BROMIDE;  GLASS FIBER;  OIL;  SILVER BROMIDE;  SILVER CHLORIDE;  SILVER DERIVATIVE;  WATER; ARTICLE;  CHEMISTRY;  INFRARED SPECTROSCOPY;  THERMODYNAMICS; BROMIDES;  OILS;  OPTICAL FIBERS;  SILVER COMPOUNDS;  SPECTROSCOPY; FOURIER TRANSFORM INFRARED"	"MIZAIKOFF, B (CORRESPONDING AUTHOR), UNIV ULM, INST ANALYT \& BIOANALYT CHEM, D-89081 ULM, GERMANY; MIZAIKOFF, BORIS, UNIV ULM, INST ANALYT \& BIOANALYT CHEM, D-89081 ULM, GERMANY; LUZINOVA, YULIYA, GEORGIA INST TECHNOL, SCH CHEM \& BIOCHEM, ATLANTA, GA 30332 USA; ZDYRKO, BOGDAN; LUZINOV, IGOR, CLEMSON UNIV, SCH MAT SCI \& ENGN, CLEMSON, SC 29634 USA"	"SCHOOL OF CHEMISTRY AND BIOCHEMISTRY, GEORGIA INSTITUTE OF TECHNOLOGY, ATLANTA, GA 30332-0400, UNITED STATES;SCHOOL OF MATERIAL SCIENCE AND ENGINEERING, CLEMSON UNIVERSITY, CLEMSON, SC 29634, UNITED STATES;INSTITUTE OF ANALYTICAL AND BIOANALYTICAL CHEMISTRY, UNIVERSITY OF ULM, 89081 ULM, GERMANY"	"Scopus,WebOfScience"	"ARTICLE"	"ANALYTICAL CHEMISTRY"	""
"INTEGRATED MICROFLUIDIC DEVICE FOR FORENSIC FIBER DYE ANALYSIS"	2012	"SOHN A;GARRARD K;DOW TA;ROBICHAUD G"	""	""	""	""	"PRECISION ENGINEERING CENTER, NORTH CAROLINA STATE UNIVERSITY, RALEIGH, NC, 27695, UNITED STATES"	"Scopus"	"CONFERENCE MATERIAL"	"PROCEEDINGS - ASPE 2012 ANNUAL MEETING"	""
"INTERFERING FACTORS IN MICROSPECTROPHOTOMETRIC MEASUREMENTS ON TEXTILE FIBERS [STORENDE EINFLUSSE BEI MIKROSPEKTRALPHOTOMETRISCHEN MESSUNGEN AN TEXTILFASERN]"	1981	"HAGER W;METTER D;MAGERL H;SCHWERD W"	""	""	"FIBER;  FORENSIC MEDICINE;  SPECTROPHOTOMETRY;  TEXTILE"	""	"INST. RECHTSMED., UNIV. WURZBURG, 8700 WURZBURG, GERMANY"	"Scopus"	"ARTICLE"	"ARCHIV FUR KRIMINOLOGIE"	""
"INVERSE PAPER CHROMATOGRAPHY, A TOOL FOR A BETTER UNDERSTANDING OF FIBRE CHEMISTRY?"	1997	"LINDSTROM M;SEISTO A;WARNHEIM M;YANG E;LINDSTROM M;SEISTO A;WARNHEIM M;YANG EQ"	""	""	"CARBOXYLIC ACIDS;  CHROMATOGRAPHY;  DYES;  LIGNIN;  NATURAL FIBERS;  PAPER; INVERSE PAPER CHROMATOGRAPHY (IPC); PULP"	"LINDSTROM, M (CORRESPONDING AUTHOR), STFI,BOX 5604,SE-11486 STOCKHOLM,SWEDEN"	"STFI, STOCKHOLM, SWEDEN"	"Scopus,WebOfScience"	"CONFERENCE MATERIAL"	"PROCEEDINGS OF THE ACM WORKSHOP ON ROLE-BASED ACCESS CONTROL;ISWPC - 9TH INTERNATIONAL SYMPOSIUM ON WOOD AND PULPING CHEMISTRY - ORAL PRESENTATIONS"	""
"INVESTIGATING THE PROVENANCE OF UN-DYED SPUN COTTON FIBRE USING MULTI-ISOTOPE PROFILES AND CHEMOMETRIC ANALYSIS"	2011	"DAID NN;MEIER-AUGENSTEIN W;KEMP HF;DAEID NN;MEIER-AUGENSTEIN W;KEMP HF"	"10.1002/rcm.5046"	"RATIO MASS-SPECTROMETRY; OLIVE OILS; NATURAL-ABUNDANCE; WATER; HAIR;; IDENTIFICATION; DELTA-O-18; ORIGIN; OXYGEN; O-18"	"HYDROGEN;  OXYGEN; ARTICLE;  CLASSIFICATION;  COTTON;  FORENSIC SCIENCE;  MASS SPECTROMETRY;  METHODOLOGY;  PRINCIPAL COMPONENT ANALYSIS;  TEXTILE; COTTON FIBER;  FORENSIC SCIENCES;  HYDROGEN;  OXYGEN ISOTOPES;  TEXTILES"	"DAEID, NN (CORRESPONDING AUTHOR), UNIV STRATHCLYDE, CTR FORENS SCI, DEPT PURE \& APPL CHEM, WESTCHEM, GLASGOW G1 1XW, LANARK, SCOTLAND; DAEID, NIAMH NIC, UNIV STRATHCLYDE, CTR FORENS SCI, DEPT PURE \& APPL CHEM, WESTCHEM, GLASGOW G1 1XW, LANARK, SCOTLAND; MEIER-AUGENSTEIN, WOLFRAM, UNIV DUNDEE, CTR ANAT \& HUMAN IDENTIFICAT, COLL LIFE SCI, DUNDEE DD1 5EH, SCOTLAND; MEIER-AUGENSTEIN, WOLFRAM; KEMP, HELEN F, SCOTTISH CROP RES INST, STABLE ISOTOPE LAB, DUNDEE DD2 5DA, SCOTLAND"	"DEPARTMENT OF PURE AND APPLIED CHEMISTRY, CENTRE FOR FORENSIC SCIENCES, UNIVERSITY OF STRATHCLYDE, GLASGOW G1 1XW, UNITED KINGDOM;CENTRE FOR ANATOMY AND HUMAN IDENTIFICATION, COLLEGE OF LIFE SCIENCES, UNIVERSITY OF DUNDEE, DOW STREET, DUNDEE DD1 5EH, UNITED KINGDOM;STABLE ISOTOPE LABORATORY, SCOTTISH CROP RESEARCH INSTITUTE INVERGOWRIE, DUNDEE DD2 5DA, UNITED KINGDOM"	"Scopus,WebOfScience"	"ARTICLE"	"RAPID COMMUNICATIONS IN MASS SPECTROMETRY"	""
"ITC AND DC: BOOK OF PROCEEDINGS OF THE 4TH INTERNATIONAL TEXTILE, CLOTHING AND DESIGN CONFERENCE - MAGIC WORLD OF TEXTILES"	2008	"NA NA"	""	""	""	""	""	"Scopus"	"CONFERENCE MATERIAL"	"ITC AND DC-BOOK OF PROCEEDINGS OF THE 4TH INTERNATIONAL TEXTILE, CLOTHING AND DESIGN CONFERENCE - MAGIC WORLD OF TEXTILES"	""
"KERNEL-BASED METHODS FOR SOURCE IDENTIFICATION USING VERY SMALL PARTICLES FROM CARPET FIBERS"	2017	"ARMSTRONG DE;NEUMANN C;SAUNDERS CP;GANTZ DT;MILLER JJ;STONEY DA"	"10.1016/j.chemolab.2016.10.004"	"LIKELIHOOD RATIOS"	"ARTICLE;  BAYES THEOREM;  CLASSIFIER;  CONTROLLED STUDY;  ENERGY DISPERSIVE X RAY SPECTROSCOPY;  KERNEL METHOD;  LIMIT OF QUANTITATION;  MEASUREMENT ACCURACY;  PARTICLE SIZE;  SCANNING ELECTRON MICROSCOPY;  UNITED STATES;  VERY SMALL PARTICLE"	"ARMSTRONG, D E; NEUMANN, C; SAUNDERS, C P, SOUTH DAKOTA STATE UNIV, DEPT MATH \& STAT, BROOKINGS, SD 57007 USA; GANTZ, D T, GEORGE MASON UNIV, DEPT INFORMAT SCI \& TECHNOL, FAIRFAX, VA 22030 USA; MILLER, J J, GEORGE MASON UNIV, DEPT STAT, FAIRFAX, VA 22030 USA; STONEY, D A, STONEY FORENS INC, 14101 WILLARD RD,SUITE G, CHANTILLY, VA 20151 USA"	"DEPARTMENT OF MATHEMATICS AND STATISTICS, SOUTH DAKOTA STATE UNIVERSITY, BROOKINGS, SD, UNITED STATES;DEPARTMENT OF INFORMATION SCIENCES AND TECHNOLOGY, GEORGE MASON UNIVERSITY, FAIRFAX, VA, UNITED STATES;DEPARTMENT OF STATISTICS, GEORGE MASON UNIVERSITY, FAIRFAX, VA, UNITED STATES;STONEY FORENSIC, INC., 14101 WILLARD ROAD, SUITE G, CHANTILLY, VA  20151, UNITED STATES"	"Scopus,WebOfScience"	"ARTICLE"	"CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS"	"VERY SMALL PARTICLES;KERNEL BASED-METHODS;HIGH-DIMENSIONAL;CLASSIFICATION;CLOSED-SET IDENTIFICATION;HIGH-DIMENSIONAL CLASSIFICATION"
"LOCALIZED SURFACE PLASMON RESONANCE BASED TAPERED FIBER OPTIC ETHANOL SENSOR"	2019	"SEMWAL V;GUPTA BD"	"10.1109/CLEOE-EQEC.2019.8872629"	""	"BEVERAGES;  BODY FLUIDS;  ETHANOL;  FIBER OPTICS;  LIGHT;  METAL NANOPARTICLES;  PLASMONS; BIOSENSING APPLICATIONS;  COLLECTIVE OSCILLATIONS;  FABRICATION AND CHARACTERIZATIONS;  FORENSIC INVESTIGATION;  FREQUENCY MATCHING;  FREQUENCY OF OSCILLATION;  LOCALIZED SURFACE PLASMON RESONANCE;  METABOLIC DISORDERS; SURFACE PLASMON RESONANCE"	""	"PHYSICS DEPARTMENT, INDIAN INSTITUTE OF TECHNOLOGY DELHI, NEW DELHI, 110016, INDIA,PHYSICS DEPARTMENT, INDIAN INSTITUTE OF TECHNOLOGY DELHI, NEW DELHI, 110016, INDIA"	"Scopus,Scopus"	"CONFERENCE MATERIAL"	"2019 CONFERENCE ON LASERS AND ELECTRO-OPTICS EUROPE AND EUROPEAN QUANTUM ELECTRONICS CONFERENCE, CLEO/EUROPE-EQEC 2019;OPTICS INFOBASE CONFERENCE PAPERS"	""
"MALDI-TOF MASS SPECTROMETRIC IDENTIFICATION OF DYES AND PIGMENTS"	2007	"SOLTZBERG LJ;HAGAR A;KRIDARATIKORN S;MATTSON A;NEWMAN R;SOLTZBERG LJ;HAGAR A;KRIDARATIKORN A;NEWMAN R"	"10.1016/j.jasms.2007.08.008"	"ASSISTED-LASER-DESORPTION/IONIZATION; MATRIX; IONIZATION"	"ION EXCHANGE;  MASS SPECTROMETRY;  MOLECULAR INTERACTIONS;  MOLECULAR STRUCTURE;  PIGMENTS; FORENSIC ANALYSIS;  FRAGMENT ION;  MASS SPECTROMETRIC IDENTIFICATION;  SINGLE FIBERS;  TATE GALLERY COLLECTION; DYES; ANION;  DYE;  ION;  PIGMENT; ACIDITY;  ARTICLE;  FIBER;  FORENSIC SCIENCE;  INFORMATION CENTER;  MATRIX ASSISTED LASER DESORPTION IONIZATION TIME OF FLIGHT MASS SPECTROMETRY;  OBSERVATIONAL STUDY;  RESEARCH;  SAMPLE;  TEXTILE"	"SOLTZBERG, LJ (CORRESPONDING AUTHOR), SIMMONS COLL, DEPT CHEM, 300 FENWAY, BOSTON, MA 02115 USA; SIMMONS COLL, DEPT CHEM, BOSTON, MA 02115 USA; MUSEUM FINE ARTS, SCI RES LAB, BOSTON, MA 02115 USA"	"DEPARTMENT OF CHEMISTRY, SIMMONS COLLEGE, BOSTON, MA, UNITED STATES;SCIENTIFIC RESEARCH LABORATORY, MUSEUM OF FINE ARTS, BOSTON, MA, UNITED STATES"	"Scopus,WebOfScience"	"ARTICLE"	"JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY"	""
"MEAN CENTERING OF RATIO SPECTRA FOR COLORIMETRIC DETERMINATION OF MORPHINE AND CODEINE IN PHARMACEUTICALS AND BIOLOGICAL SAMPLES USING MELAMINE MODIFIED GOLD NANOPARTICLES"	2016	"MOHSENI N;BAHRAM M"	"10.1039/c6ay02091g"	""	"ASPECT RATIO;  ASSAYS;  BODY FLUIDS;  COLORIMETRY;  FIBER OPTIC SENSORS;  GOLD;  HYDROGEN BONDS;  METAL NANOPARTICLES;  NANOPARTICLES; BIOLOGICAL SAMPLES;  CLINICAL TOXICOLOGIES;  COLORIMETRIC ASSAYS;  COLORIMETRIC DETER-MINATION;  CONVENTIONAL APPROACH;  HYDROGEN BONDING INTERACTIONS;  NET ANALYTE SIGNALS;  UV-VIS SPECTROPHOTOMETERS; COLOR"	""	"DEPARTMENT OF ANALYTICAL CHEMISTRY, FACULTY OF CHEMISTRY, URMIA UNIVERSITY, URMIA, 57561-51818, IRAN"	"Scopus"	"ARTICLE"	"ANALYTICAL METHODS"	""
"METHOD OF STUDYING MICROFIBRES FOR FORENSIC PURPOSES"	1992	"WAS J"	""	""	"FORENSIC SCIENCE;  MICROFIBRES;  TESTING; FIBRE-IDENTIFICATION"	""	"INST EKSPERTYZ SADOWYCH, KRAKOW, POLAND, POLAND"	"Scopus"	"ARTICLE"	"PRZEGLAD WLOKIENNICZY"	""
"MICROANALYSIS IN FORENSIC AND INDUSTRIAL INVESTIGATIONS: MICRO METHODS IN TEXTILE FIBRE EXAMINATION"	1967	"FORD-KIRKPATRICK W"	"10.1039/SA9670400169"	""	""	""	"LAMBEG RESEARCH INSTITUTE, LISBURN, CO. ANTRIRN, UNITED KINGDOM"	"Scopus"	"CONFERENCE MATERIAL"	"PROCEEDINGS OF THE SOCIETY FOR ANALYTICAL CHEMISTRY"	""
"MICROSPECTRAL PHOTOMETRIC MEASUREMENTS ON TEXTILE FIBERS IN TRANSMITTED LIGHT [MIKROSPEKTRALPHOTOMETRISCHE MESSUNGEN AN TEXTILFASERN IM DURCHLICHT]"	1981	"HAGER W;METTER D;MAGERL H;SCHWERD W"	""	""	"COMPUTER ANALYSIS;  IDENTIFICATION;  LEGAL ASPECT;  METHODOLOGY;  NONHUMAN;  TEXTILE;  ARTICLE;  FORENSIC MEDICINE;  HUMAN;  SPECTROPHOTOMETRY; ENGLISH ABSTRACT;  TEXTILES"	""	"INST. RECHTSMED., UNIV. WURZBURG, D-8700 WURZBURG, GERMANY"	"Scopus"	"ARTICLE"	"BEITRAGE ZUR GERICHTLICHEN MEDIZIN"	""
"MICROSPECTROPHOTOMETRIC OBSERVATIONS ON TEXTILE FIBERS [MIKROSPEKTRALPHOTOMETRISCHE UNTERSUCHUNGEN AN TEXTILFASERN]"	1976	"HALONBRENNER R"	""	""	"IN VITRO STUDY;  METHODOLOGY;  THEORETICAL STUDY;  ADOLESCENT;  ADULT;  ARTICLE;  BLOOD STAIN;  CHEMISTRY;  CLOTHING;  CRIME;  FEMALE;  FORENSIC MEDICINE;  HOMICIDE;  HUMAN;  MALE;  SPECTROPHOTOMETRY; ADOLESCENT;  BLOOD STAINS;  MICROCHEMISTRY"	""	"WISSENSCHAFTL. DIENST, STADTPOLIZEI, ZURICH, SWITZERLAND"	"Scopus"	"ARTICLE"	"ARCHIV FUR KRIMINOLOGIE"	""
"MID IR-FIBER SPECTROSCOPY IN THE 2-17 MU M RANGE"	2007	"ARTYUSHENKO VG;BOCHARNIKOV A;COLQUHOUN CA;LOBACHOV V;PIROGOVA T;SAVITSKIJ D;EZHEVSKAYA A"	"10.1117/12.752056"	""	""	"ARTYUSHENKO, VG (CORRESPONDING AUTHOR), FIBRE PHOTON LTD, 18 BRIDGEND COURT, W LOTHIAN EH482BF, SCOTLAND; ARTYUSHENKO, VIACHESLAV G; BOCHARNIKOV, A; COLQUHOUN, GARY; LEACH, CLIVE A, FIBRE PHOTON LTD, 18 BRIDGEND COURT, W LOTHIAN EH482BF, SCOTLAND; LOBACHOV, VLADIMIR; PIROGOVA, LYUDMILA; SAKHAROVA, TATJANA; SAVITSKIJ, DMITRIJ, GEN PHYS INST RAS, MOSCOW 119991, RUSSIA; EZHEVSKAYA, TATJANA; BUBLIKOV, ALEXANDR, PHYS SEMICOND INST, NOVOSIBIRSK 630090, RUSSIA"	""	"WebOfScience"	"PROCEEDINGS PAPER"	"ELECTRO-OPTICAL REMOTE SENSING, DETECTION, AND PHOTONIC TECHNOLOGIES AND THEIR APPLICATIONS"	"OPTICAL FIBRES;CHALCOGENIDE CIR-FIBRES;POLYCRYSTALLINE PIR-FIBRES;FIBRE PROBES;PROCESS-SPECTROSCOPY;MID INFRARED SPECTROSCOPY"
"MID IR-FIBRE SPECTROSCOPY IN THE 2-17M RANGE"	2007	"ARTYUSHENKO VG;BOCHARNIKOV A;COLQUHOUN G;LEACH CA;LOBACHOV V;PIROGOVA L;SAKHAROVA T;SAVITSKIJ D;EZHEVSKAYA T;BUBLIKOV A"	"10.1117/12.752056"	""	"ELECTRONIC DOCUMENT IDENTIFICATION SYSTEMS;  INFRARED SPECTROSCOPY;  POLYCRYSTALLINE MATERIALS;  WAVELENGTH; CHEMICAL REACTION CONTROL;  FORENSIC SUBSTANCES IDENTIFICATION; FIBER OPTICS"	""	"FIBRE PHOTONICS LTD., 18 BRIDGEND COURT, BATHGATE, WEST LOTHIAN EH482BF, UNITED KINGDOM;GENERAL PHYSICS INSTITUTE, RAS, VAVILOVA STR. 38, 119991, MOSCOW, RUSSIAN FEDERATION;PHYSICS OF SEMICONDUCTORS INSTITUTE, LAVRENTJEVA PROSP. 13, 630090, NOVOSIBIRSK, RUSSIAN FEDERATION"	"Scopus"	"CONFERENCE MATERIAL"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"CHALCOGENIDE CIR-FIBRES;FIBRE PROBES;MID INFRARED SPECTROSCOPY;OPTICAL FIBRES;POLYCRYSTALLINE PIR-FIBRES;PROCESS-SPECTROSCOPY"
"MOLECULAR SPECIATION OF ANIMAL FIBRES"	1998	"HAMLYN PF;BAYLIFFE A;MCCARTHY BJ;NELSON G"	"10.1111/j.1478-4408.1998.tb01950.x"	""	"ANIMAL FIBER;  DNA AMPLIFICATION;  DNA ANALYSIS; KERATIN;  NATURAL FIBRES;  TESTING; FIBRE"	""	""	"Scopus"	"ARTICLE"	"JOURNAL OF THE SOCIETY OF DYERS AND COLOURISTS"	""
