"Authors"	"Title"	"Year"	"AKeywords"	"Source.title"	"DOI"	"Document.Type"	"Link"	"Coder"
"WAS-GUBALA J"	"Textile and Fiber Damage"	2013	"Biodegradation; Cutting; Environmental damage; Explosion effects; Fiber; Laundering effects; Mechanical damage; Microbiological damage; Tearing; Textile; Thermal damage; Wear and tear"	"Encyclopedia of Forensic Sciences"	"10.1016/B978-0-12-382165-2.00094-5"	"Book"	"https://www.sciencedirect.com/science/article/pii/B9780123821652000945"	2016
"WELLS SL; LAING RM; CARR DJ; NIVEN BE"	"Effect of laundering on visible damage to apparel fabric caused by sharp force impact"	2013	"Cotton apparel fabrics (t-shirts); Sharp force trauma; Single jersey; Twill weave drill (jeans); Visual assessment"	"Forensic Science International"	"10.1016/j.forsciint.2013.09.025"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886392420&doi=10.1016%2fj.forsciint.2013.09.025&partnerID=40&md5=dc274510309884f0fa835315c5c92819"	2016
"KEMP S"	"The effect of degradation on severance Morphology"	2015	NA	NA	NA	"Poster"	"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.618.117&rep=rep1&type=pdf"	2016
"COWPER EJ; CARR DJ; HORSFALL I; FERGUSSON SM"	"The effect of fabric and stabbing variables on severance appearance"	2015	"Extension and elasticity; Knife; Knitted fabric; Male and female participants; Morphology"	"Forensic Science International"	"10.1016/j.forsciint.2015.01.024"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923382051&doi=10.1016%2fj.forsciint.2015.01.024&partnerID=40&md5=acbd7767e96eb76ce7ecaf8ab90dd778"	2016
"COWPER EJ; MAHONEY PF; GODHANIA K; CARR DJ; HARRISON K"	"A pilot study examining garment severance damage caused by a trained sharp-weapon user"	2017	"knife; martial arts; simulant; T-shirt; textile damage"	"Textile Research Journal"	"10.1177/0040517516651107"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020161691&doi=10.1177%2f0040517516651107&partnerID=40&md5=bd68cd1c26911513e1719df5ef694da0"	2016
"WIGHTMAN G; WARK K; THOMSON J"	"The interaction between clothing and air weapon pellets"	2015	"Air rifle; Air weapon; Ballistic; Clothing; Gel; Pellet"	"Forensic Science International"	"10.1016/j.forsciint.2014.10.039"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918800519&doi=10.1016%2fj.forsciint.2014.10.039&partnerID=40&md5=fb5a9772cb1224234dafd0dfae471f37"	2016
"CARR D; KIESER J; MABBOTT A; MOTT C; CHAMPION S; GIRVAN E"	"Damage to apparel layers and underlying tissue due to hand-gun bullets"	2014	"Bony wounds; Bullets; Clothing; Handguns"	"International Journal of Legal Medicine"	"10.1007/s00414-013-0856-1"	"Review"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891828100&doi=10.1007%2fs00414-013-0856-1&partnerID=40&md5=ea755b92f864dbec2048e022da9a858a"	2016
"CAIL K; KLATT E"	"The effect of intermediate clothing targets on shotgun ballistics"	2013	"Ballistics; Fabric; Intermediate target; Pellets; Shotgun"	"American Journal of Forensic Medicine and Pathology"	"10.1097/PAF.0000000000000051"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892824365&doi=10.1097%2fPAF.0000000000000051&partnerID=40&md5=14e2c155c4237b6f5dbe9bdfda4248c6"	2016
"CARR DJ; MITCHELL JL; NIVEN BE; GIRVAN E; CARNEY S"	"Development of a laboratory test for knicker tearing re-creation studies"	2016	"False claims; G-string; Rape; Sexual assault; Thongs"	"Forensic Science International"	"10.1016/j.forsciint.2016.02.038"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960460843&doi=10.1016%2fj.forsciint.2016.02.038&partnerID=40&md5=bec5bbe6b287978c587cd6a81c1f2758"	2016
"GEISENBERGER D; WUEST F; BIELEFELD L; GROßE PERDEKAMP M; PIRCHER R; POLLAK S; THIERAUF-EMBERGER A; HUPPERTZ LM"	"Fat from contused adipose tissue may cause yellow discoloration of clothes in blunt trauma victims"	2014	"Adipose tissue; Blunt trauma; Body fat; Discoloration of textiles; Fatty acids"	"Forensic Science International"	"10.1016/j.forsciint.2014.10.022"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983171271&doi=10.1016%2fj.forsciint.2014.10.022&partnerID=40&md5=8824281028e92d13506fbc56f4d2d67b"	2016
"LOWE AC; BERESFORD DV; CARTER DO; GASPARI F; O'BRIEN RC; STUART BH; FORBES SL"	"The effect of soil texture on the degradation of textiles associated with buried bodies"	2013	"Decomposition; Fatty acids; Gas chromatography-mass spectrometry; Infrared spectroscopy; Soil texture; Textile degradation"	"Forensic Science International"	"10.1016/j.forsciint.2013.05.037"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880355982&doi=10.1016%2fj.forsciint.2013.05.037&partnerID=40&md5=a6a27b5e58259399c7edb9d7db36e675"	2016
"UELAND M; NIZIO KD; FORBES SL; STUART BH"	"The interactive effect of the degradation of cotton clothing and decomposition fluid production associated with decaying remains"	2015	"Forensic taphonomy; GC-MS; Infrared spectroscopy; Lipid; Protein; Textiles"	"Forensic Science International"	"10.1016/j.forsciint.2015.05.029"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942552733&doi=10.1016%2fj.forsciint.2015.05.029&partnerID=40&md5=6dd1e42e2d43a9eb0393fbc116049e68"	2016
"ROUX C; ROBERTSON J"	"Transfer"	2013	"Fabric construction; Fibers; Locard; Trace evidence; Transfer"	"Professional Issues in Forensic Science. 1st Edition"	NA	"Book"	"University of Technology, Sydney, NSW, Australia; University of Canberra, Canberra, ACT, Australia"	2016
"SCHNEGG M; GUEISSAZ L; RODRIGUEZ J; HESS S; MASSONNET G"	"Transfer of Fibres onto Knife Blades in Stabbing Events: Distribution and Determination of the Stabbing Sequence"	2015	"Damage to textiles; fibre localization; secondary transfer; stabbing simulations; transfer sequence"	"Journal of Forensic Science and Medicine"	"10.4103/2349-5014.164659"	"Article"	"http://www.jfsmonline.com/article.asp?issn=2349-5014;year=2015;volume=1;issue=2;spage=84;epage=92;aulast=Schnegg"	2016
"DEBATTISTA R; TIDY H; THOMPSON TJU; ROBERTSON P"	"An investigation into the persistence of textile fibres on buried carcasses"	2014	"Burial; Fibre persistence; Forensic archaeology; Forensic science; Skin; Taphonomy"	"Science and Justice"	"10.1016/j.scijus.2014.03.002"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903819018&doi=10.1016%2fj.scijus.2014.03.002&partnerID=40&md5=bc235b5c937317094851c780de9f7c38"	2016
"HONG S; HAN A; KIM S; SON D; MIN H"	"Transfer of fibres on the hands of living subjects and their persistence during hand washing"	2014	"Hands; Persistence; Texture; Transfer; Washing"	"Science and Justice"	"10.1016/j.scijus.2014.09.002"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926200214&doi=10.1016%2fj.scijus.2014.09.002&partnerID=40&md5=e0777a971cf79edb5085208ed4fcbc59"	2016
"LEPOT L; VANDEN DRIESSCHE T; LUNSTROOT K; GASON F; DE WAEL K"	"Fibre persistence on immersed garment-Influence of knitted recipient fabrics"	2015	"Forensic fibre investigation; Persistence; Recipient garment; Underwater conditions"	"Science and Justice"	"10.1016/j.scijus.2015.02.006"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930924794&doi=10.1016%2fj.scijus.2015.02.006&partnerID=40&md5=fe456e60a6c0fa9c7bb4b032a86b5ac8"	2016
"LEPOT L; VANDEN DRIESSCHE T"	"Fibre persistence on immersed garment - Influence of water flow and stay in running water"	2015	"Activity; Forensic fibre investigation; Retention; Underwater conditions; Waterway"	"Science and Justice"	"10.1016/j.scijus.2015.09.003"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945970404&doi=10.1016%2fj.scijus.2015.09.003&partnerID=40&md5=875eb3fadbe6ff744b78aa1326357d76"	2016
"GWINNETT C"	"The persistence of fibres in water environments"	2015	NA	"Proceedings of the 7th European Academy of Forensic Science Conference, Praha"	NA	"Proceedings papers"	NA	2016
"WOODALL LC; GWINNETT C; PACKER M; THOMPSON RC; ROBINSON LF; PATERSON GLJ"	"Using a forensic science approach to minimize environmental contamination and to identify microfibres in marine sediments"	2015	"Deep-sea; Microfibre; Microplastic; Pollution; Sediment"	"Marine Pollution Bulletin"	"10.1016/j.marpolbul.2015.04.044"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933675528&doi=10.1016%2fj.marpolbul.2015.04.044&partnerID=40&md5=656cfc3ee28fc20e0918f4069c9ac3ee"	2016
"MARTIN NM"	"Forensic Significance of Teal Colored Cashmere and Black Acrylic Fibers"	2015	NA	NA	NA	"Thesis"	"https://digitalcommons.buffalostate.edu/cgi/viewcontent.cgi?article=1006&context=forensic_science_theses"	2016
"PALMER R; BURNETT E; LUFF N; WAGNER C; STINGA G; CARNEY C; SHERIDAN K"	"The prevalence of two 'commonly' encountered synthetic target fibres within a large urban environment"	2015	"Bayesian framework; Discrimination; Evidence evaluation; Fibres; Instrumental analysis; Target fibre studies"	"Science and Justice"	"10.1016/j.scijus.2015.01.001"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924045886&doi=10.1016%2fj.scijus.2015.01.001&partnerID=40&md5=d4bb94fcb247ec834a89e4c24066e9aa"	2016
"LUNSTROOT K; ZIERNICKI D; VANDEN DRIESSCHE T"	"A study of black fleece garments: Can fleece fibres be recognized and how variable are they?"	2016	"Black polyester fibres; Fibre discrimination; Fleece garments; Forensic fibre investigation"	"Science and Justice"	"10.1016/j.scijus.2015.12.006"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955619645&doi=10.1016%2fj.scijus.2015.12.006&partnerID=40&md5=43471031c9d6ad35e64b8f6b6fab8d72"	2016
"ROUX C; ROBERTSON J; PALMER R"	"Persistence and Recovery"	2013	"Fiber recovery; FibersPersistence; Scraping; Taping; Trace evidence; Vacuuming"	"Encyclopedia of Forensic Sciences"	"10.1016/B978-0-12-382165-2.00090-8"	"Book"	"https://www.sciencedirect.com/science/article/pii/B9780123821652000908"	2016
"SCHOTMAN TG; VAN DER WEERD J"	"On the recovery of fibres by tape lifts, tape scanning, and manual isolation"	2015	"Fibres; Isolation; Tape lift; Tape scanning; Taping; Trace recovery"	"Science and Justice"	"10.1016/j.scijus.2015.05.007"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930892670&doi=10.1016%2fj.scijus.2015.05.007&partnerID=40&md5=52af5a694a34422f19519ab828281e6a"	2016
"VAN DER WEERD J"	"Combined recovery of fibres and DNA"	2015	NA	"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle"	NA	"Proceedings papers"	NA	2016
"KEUTENIUS E; O'KEEFFE P; ALLEN K"	"The recovery of fibres from non-textile items using a static charge"	2013	"Fibre recovery; Static"	"Science and Justice"	"10.1016/j.scijus.2012.10.003"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876730163&doi=10.1016%2fj.scijus.2012.10.003&partnerID=40&md5=4b8e9adf8bd58640a19bd95fc4a929a1"	2016
"BOWEN A; STONEY D"	"A New Method for the Removal and Analysis of Small Particles Adhering to Carpet Fiber Surfaces"	2013	"Dust; Fibers; Forensic sciences; Particle combination analysis; Scanning electron microscopy; Trace evidence"	"Journal of Forensic Sciences"	"10.1111/1556-4029.12071"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876717162&doi=10.1111%2f1556-4029.12071&partnerID=40&md5=7ca0f633cf5fd8136b4609b90cbc442d"	2016
"STONEY DA; NEUMANN C; MOONEY KE; WYATT JM; STONEY PL"	"Exploitation of very small particles to enhance the probative value of carpet fibers"	2015	"Carpet fibers; Classifiers; Probative value; SEM/EDS analysis; Trace evidence; Very small particles"	"Forensic Science International"	"10.1016/j.forsciint.2015.04.003"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928743079&doi=10.1016%2fj.forsciint.2015.04.003&partnerID=40&md5=d7dcb4220058eb118ab7170f247b9744"	2016
"STONEY DA; BOWEN AM; STONEY PL"	"Utilization of environmentally acquired very small particles as a means of association"	2015	"Association; Carpet fibers; EDS analysis; SEM analysis; Trace evidence; Very small particles"	"Forensic Science International"	"10.1016/j.forsciint.2015.06.002"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937042974&doi=10.1016%2fj.forsciint.2015.06.002&partnerID=40&md5=dc2f45bd2a337ef5e4846dbe2c59a877"	2016
"FARAH S; KUNDURU KR; TSACH T; BENTOLILA A; DOMB AJ"	"Forensic comparison of synthetic fibers"	2015	"Fiber analysis; Fibers forensic comparison; Forensic science; Synthetic fibers; Trace evidence"	"Polymers for Advanced Technologies"	"10.1002/pat.3540"	"Review"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931957935&doi=10.1002%2fpat.3540&partnerID=40&md5=13ce11e3fc57262222ab3b3adc9eb04e"	2016
