"TI"	"PY"	"AU"	"AIKW"	"IDW"	"AIKS"	"IDS"	"C1W"	"C1S"	"DOI"	"SO"	"DT"	"AIK"
"SELECTING AN APPROPRIATE SOLVENT MICROEXTRACTION MODE FOR A GREEN ANALYTICAL METHOD"	2017	"KOKOSA JM"	""	""	"AUTOMATION OF SME;  DEEP EUTECTIC SOLVENT (DES);  DISPERSIVE LIQUIDLIQUID MICROEXTRACTION (DLLME);  ELECTROMEMBRANE EXTRACTION (EME);  GREEN ANALYTICAL CHEMISTRY (GAC);  HOLLOW FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME);  IONIC LIQUID (IL);  LIQUID-PHASE MICROEXTRACTION (LPME);  SINGLE DROP MICROEXTRACTION (SDME);  SOLVENT MICROEXTRACTION (SME)"	"NA"	NA	"KETTERING UNIVERSITY,FLINT,MI,UNITED STATES; MOTT COMMUNITY COLLEGE,UNITED STATES"	"10.1016/bs.coac.2016.12.001"	"COMPREHENSIVE ANALYTICAL CHEMISTRY"	"ARTICLE"	";AUTOMATION OF SME;DEEP EUTECTIC SOLVENT (DES);DISPERSIVE LIQUIDLIQUID MICROEXTRACTION (DLLME);ELECTROMEMBRANE EXTRACTION (EME);GREEN ANALYTICAL CHEMISTRY (GAC);HOLLOW FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME);IONIC LIQUID (IL);LIQUID-PHASE MICROEXTRACTION (LPME);SINGLE DROP MICROEXTRACTION (SDME);SOLVENT MICROEXTRACTION (SME)"
"SHEATH-CORE BICOMPONENT FIBER CHARACTERIZATION BY FT-IR AND OTHER ANALYTICAL METHODOLOGIES"	2018	"TAKERNATSU MM;DINIZ MF;MATTOS EC;LAZZARINI DUTRA RC;TAKEMATSU MM;DA COSTA MATTOS E;DE CSSIA LAZZARINI DUTRA R"	"BICOMPONENT FIBER; CHARACTERIZATION; FT-IR; POLYETHYLENE; POLYPROPYLENE"	"PHOTOACOUSTIC-SPECTROSCOPY; REFLECTANCE"	"BICOMPONENT FIBER;  CHARACTERIZATION;  FT-IR;  POLYETHYLENE;  POLYPROPYLENE"	"CHARACTERIZATION;COLORIMETRIC ANALYSIS;DIFFERENTIAL SCANNING CALORIMETRY;ENERGY DISPERSIVE SPECTROSCOPY;FIBERS;FOURIER TRANSFORM INFRARED SPECTROSCOPY;POLYETHYLENES;POLYPROPYLENES;PROCESS MONITORING;QUALITY CONTROL;SCANNING ELECTRON MICROSCOPY;TITANIUM DIOXIDE;ANALYTICAL METHODOLOGY;BI-COMPONENT FIBERS;DSC(DIFFERENTIAL SCANNING CALORIMETRY);ELEMENTAL COMPOSITIONS;ENERGY DISPERSIVE X RAY SPECTROSCOPY;FORENSIC INVESTIGATION;FOURIER TRANSFORM INFRA RED (FTIR) SPECTROSCOPY;TITANIUM DIOXIDES (TIO2);THERMOGRAVIMETRIC ANALYSIS"	"DUTRA, RDL (REPRINT AUTHOR), ITA, SAO JOSE DOS CAMPOS, SP, BRAZIL; TAKERNATSU, MARCIA MURAKOSHI; MATTOS, ELIZABETH DA COSTA; LAZZARINI DUTRA, RITA DE CASSIA, ITA, SAO JOSE DOS CAMPOS, SP, BRAZIL; DINIZ, MILTON FARIA; MATTOS, ELIZABETH DA COSTA, IAE, DIV QUIM AQI, SAO JOSE DOS CAMPOS, SP, BRAZIL"	"INSTITUTO TECNOLGICO DE AERONATICA-ITA,SA JOS DOS CAMPOS,SP,BRAZIL; INSTITUTO DE AERONATICA E ESPAO-IAE,DIVISA DE QUMICA-AQI,BRAZIL"	"10.1590/0104-1428.09016"	"POLIMEROS-CIENCIA E TECNOLOGIA POLIMEROS"	"ARTICLE"	"BICOMPONENT FIBER;CHARACTERIZATION;FT-IR;POLYETHYLENE;POLYPROPYLENE"
"SINGLE FIBER CHARACTERIZATION BY POLARIZATION FT-IR MICROSPECTROSCOPY"	1997	"WETZEL DL;CHO LL"	"INFRARED MICROSPECTROSCOPY; FT-IR; FIBER ANALYSIS; FORENSIC SPECTROSCOPY"	""	""	""	"WETZEL, DL (REPRINT AUTHOR), KANSAS STATE UNIV,MICROBEAM MOL SPECT LAB,SHELLENBERGER HALL,MANHATTAN,KS 66506, USA"	NA	""	"MIKROCHIMICA ACTA"	"PROCEEDINGS"	"INFRARED MICROSPECTROSCOPY;FT-IR;FIBER ANALYSIS;FORENSIC SPECTROSCOPY"
"SMALL THINGS IN BIG PLACES - COLORATION AND FABRIC STRUCTURE OF SELECTED POLYCHROME TEXTILES FROM THE SEIP MOUND GROUP IN EASTERN NORTH AMERICA"	2010	"BALDIA CM;JAKES KA"	"COLORANTS; TEXTILES; BURIAL MOUND; NORTH AMERICA"	"ARCHAEOLOGICAL TEXTILES; COLORANTS"	""	""	"BALDIA, CM (REPRINT AUTHOR), ARCHAEOL TEXT CONSULTING, 628 CUMBERLAND ST, WESTFIELD, NJ 07090 USA; BALDIA, CHRISTEL M, ARCHAEOL TEXT CONSULTING, 628 CUMBERLAND ST, WESTFIELD, NJ 07090 USA"	NA	""	"INTERNATIONAL UNION FOR PREHISTORIC AND PROTOHISTORIC SCIENCES PROCEEDINGS OF THE XV WORLD CONGRESS 2006 VOL 8"	"PROCEEDINGS"	"COLORANTS;TEXTILES;BURIAL MOUND;NORTH AMERICA"
"SPECTRAL ACCURACY AND SULFUR COUNTING CAPABILITIES OF THE LTQ-FT-ICR AND THE LTQ-ORBITRAP XL FOR SMALL MOLECULE ANALYSIS"	2011	"BLAKE SL;WALKER SH;MUDDIMAN D;BECK KR;MUDDIMAN DC;HINKS D"	"ELECTROSPRAY IONIZATION; FT-ICR-MS; ORBITRAP-MS; FORENSIC ANALYSIS; TEXTILES; TRACE EVIDENCE"	"ION-CYCLOTRON RESONANCE; MASS-SPECTROMETRY; ELEMENTAL COMPOSITIONS;; GAIN-CONTROL; RESOLUTION"	"ELECTROSPRAY IONIZATION;  FORENSIC ANALYSIS;  FT-ICR-MS;  ORBITRAP-MS;  TEXTILES;  TRACE EVIDENCE"	"COLOR INDEX;CRIME SCENES;FORENSIC ANALYSIS;FT-ICR-MS;IN-FIBER;ISOTOPIC DISTRIBUTIONS;MASS MEASUREMENTS;ORBITRAP;ORBITRAP-MS;SMALL MOLECULES;SPECTRAL ACCURACY;SPECTRAL INFORMATION;SULFUR ATOMS;TRACE EVIDENCES;ELECTROSPRAY IONIZATION;TEXTILES;SULFUR;ACCURACY;ARTICLE;CALIBRATION;CONCENTRATION (PARAMETERS);CONTROLLED STUDY;ELECTROSPRAY MASS SPECTROMETRY;INTERMETHOD COMPARISON;ION CYCLOTRON RESONANCE MASS SPECTROMETRY;ION TRAP MASS SPECTROMETRY;LIMIT OF DETECTION;MASS SPECTROMETER;MOLECULAR TYPING;PREDICTION;PROCESS OPTIMIZATION;SENSITIVITY AND SPECIFICITY;SULFATION;CHI-SQUARE DISTRIBUTION;COLORING AGENTS;FORENSIC SCIENCES;FOURIER ANALYSIS;MASS SPECTROMETRY;POLYESTERS"	"MUDDIMAN, DC (REPRINT AUTHOR), N CAROLINA STATE UNIV, DEPT CHEM, WM KECK FT ICR MASS SPECTROMETRY LAB, BOX 8204, RALEIGH, NC 27695 USA; BLAKE, SAMANTHA L; WALKER, S HUNTER; MUDDIMAN, DAVID C, N CAROLINA STATE UNIV, DEPT CHEM, WM KECK FT ICR MASS SPECTROMETRY LAB, RALEIGH, NC 27695 USA; BLAKE, SAMANTHA L; HINKS, DAVID; BECK, KEITH R, N CAROLINA STATE UNIV, DEPT TEXT ENGN CHEM \& SCI, RALEIGH, NC 27695 USA"	"W. M. KECK FT-ICR MASS SPECTROMETRY LABORATORY,DEPARTMENT OF CHEMISTRY,NORTH CAROLINA STATE UNIVERSITY,RALEIGH,NC 27695,UNITED STATES; DEPARTMENT OF TEXTILE ENGINEERING,CHEMISTRY,AND SCIENCE,NC,UNITED STATES"	"10.1007/s13361-011-0244-3"	"JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY"	"ARTICLE"	"ELECTROSPRAY IONIZATION;FT-ICR-MS;ORBITRAP-MS;FORENSIC ANALYSIS;TEXTILES;TRACE EVIDENCE"
"SPECTRAL FIBER FEATURE SPACE EVALUATION FOR CRIME SCENE FORENSICS TRADITIONAL FEATURE CLASSIFICATION VS. BIOHASH OPTIMIZATION"	2015	"ARNDT C;DITTMANN J;VIELHAUER C"	""	""	"DIGITIZED CRIME SCENE FORENSICS;  FEATURE SPACE EVALUATION;  FIBER ANALYSIS;  IDENTIFICATION;  INDIVIDUALIZATION"	"AUTHENTICATION;BIOMETRICS;CLASSIFIERS;CRIME;FORENSIC ENGINEERING;HASH FUNCTIONS;IDENTIFICATION (CONTROL SYSTEMS);PETROLEUM RESERVOIR EVALUATION;CRIME SCENE FORENSICS;EXPERIMENTAL TEST;FEATURE CLASSIFICATION;FEATURE SPACE;FORENSIC EXAMINATIONS;INDIVIDUALIZATION;ON-GOING IMPROVEMENT;USER AUTHENTICATION;FIBERS"	NA	"RESEARCH GROUP MULTIMEDIA AND SECURITY,DEPT. OF COMPUTER SCIENCE,OTTO-VON-GUERICKE UNIVERSITY MAGDEBURG,PO BOX 4120,MAGDEBURG,39016,GERMANY; APPLIED COMPUTING DEPT.,UNIVERSITY OF BUCKINGHAM,BUCKINGHAM,MK181EG,UNITED KINGDOM; INFORMATICS AND MEDIA DEPT.,BRANDENBURG UNIVERSITY OF APPLIED SCIENCES,PO BOX 2132,BRANDENBURG,14737,GERMANY"	"10.5220/0005270402930302"	"VISAPP 2015 - 10TH INTERNATIONAL CONFERENCE ON COMPUTER VISION THEORY AND APPLICATIONS; VISIGRAPP PROCEEDINGS"	"CONFERENCE PAPER"	";DIGITIZED CRIME SCENE FORENSICS;FEATURE SPACE EVALUATION;FIBER ANALYSIS;IDENTIFICATION;INDIVIDUALIZATION"
"SPECTROMETRIC IMAGING OF POLARIZATION COLORS AND ITS APPLICATION IN FORENSIC FIBER ANALYSIS"	2015	"VAN OIJEN TAH;VAN DER WEERD J;VAN OIJEN TA"	"POLARIZATION MICROSCOPY; POLARIZATION COLOR; HYPERSPECTRAL IMAGING; FORENSIC FIBER EXAMINATIONS; FIBER FINDER"	""	""	"ANALYSIS;COLOR;FORENSIC SCIENCE;IMAGE PROCESSING;POLARIZATION MICROSCOPY;PROCEDURES;SPECTROSCOPY;TEXTILE;FORENSIC SCIENCES;COMPUTER-ASSISTED;MICROSCOPY;POLARIZATION;SPECTRUM ANALYSIS;TEXTILES"	"VAN DER WEERD, J (REPRINT AUTHOR), NETHERLANDS FORENS INST, DEPT MICROTRACES, POB 24044, NL-2490 AA THE HAGUE, NETHERLANDS; VAN OIJEN, THEO A H; VAN DER WEERD, JAAP, NETHERLANDS FORENS INST, DEPT MICROTRACES, NL-2490 AA THE HAGUE, NETHERLANDS"	"NETHERLANDS FORENSIC INSTITUTE,DEPARTMENT OF MICROTRACES,P.O. BOX 24044,THE HAGUE,2490AA,NETHERLANDS"	"10.1366/14-07736"	"APPLIED SPECTROSCOPY"	"ARTICLE"	"POLARIZATION MICROSCOPY;POLARIZATION COLOR;HYPERSPECTRAL IMAGING;FORENSIC FIBER EXAMINATIONS;FIBER FINDER"
"SPECTROMICROGRAPHY AND COLORIMETRY - SAMPLE AND INSTRUMENTAL EFFECTS"	1994	"EYRING MB"	"SPECTROPHOTOMETRY; COLORIMETRY; DYES; FIBERS; FORENSIC ANALYSIS; MICROSCOPY; MICROSPECTROSCOPY; SPECTROMICROGRAPHY"	"THIN-LAYER CHROMATOGRAPHY; SINGLE TEXTILE FIBERS; WOOL FIBERS; DYES;; MICROSPECTROPHOTOMETRY; EXTRACTION; DYESTUFFS; COLOR"	"COLORIMETRY;  DYES;  FIBERS;  FORENSIC ANALYSIS;  MICROSCOPY;  MICROSPECTROSCOPY;  SPECTROMICROGRAPHY;  SPECTROPHOTOMETRY"	"DYE;ARTICLE;CALORIMETRY;CHEMICAL ANALYSIS;DRUG TOXICITY;FIBER;FORENSIC SCIENCE;INSTRUMENT;MICROSCOPY;PRIORITY JOURNAL;SAMPLING;SPECTROPHOTOMETRY"	"EYRING, MB (REPRINT AUTHOR), ARIZONA DEPT PUBL SAFETY, CRIME LAB, POB 6638, PHOENIX, AZ 85005 USA; MICRO FORENS LTD, PHOENIX, AZ 85067 USA"	"ARIZONA DEPARTMENT OF PUBLIC SAFETY CRIME LABORATORY,P.O. BOX 6638,PHOENIX,AZ 85005; AND MICRO FORENSIC LTD.,P.O. BOX 40048,AZ 85067 USA"	"10.1016/0003-2670(94)85113-1"	"ANALYTICA CHIMICA ACTA"	"ARTICLE"	"SPECTROPHOTOMETRY;COLORIMETRY;DYES;FIBERS;FORENSIC ANALYSIS;MICROSCOPY;MICROSPECTROSCOPY;SPECTROMICROGRAPHY"
"SPECTROSCOPIC MEASUREMENT OF TEXTILE FIBRES"	2017	"VASKOVA H;HRANO J"	""	""	"CONTROL;  MULTIVARIATE ANALYSIS TECHNIQUES;  QUALITY;  RAMAN SPECTROSCOPY;  SPECTRAL DATABASE;  TEXTILE FIBRE"	"AUTOMATION;CHEMICAL ANALYSIS;CONTROL ENGINEERING;FIBERS;IMAGE QUALITY;INDICATORS (CHEMICAL);MANUFACTURE;MULTIVARIANT ANALYSIS;RAMAN SPECTROSCOPY;TEXTILE FIBERS;TEXTILES;CHEMICAL COMPOSITIONS;FORENSIC IDENTIFICATION;MATERIAL IDENTIFICATION;MULTIVARIATE ANALYSIS TECHNIQUES;SPECIFIC INFORMATION;SPECTRAL DATABASE;SPECTROSCOPIC MEASUREMENTS;SYNTHETIC POLYMERS;QUALITY CONTROL"	NA	"NA"	"10.2507/28th.daaam.proceedings.045"	"ANNALS OF DAAAM AND PROCEEDINGS OF THE INTERNATIONAL DAAAM SYMPOSIUM"	"CONFERENCE PAPER"	";CONTROL;MULTIVARIATE ANALYSIS TECHNIQUES;QUALITY;RAMAN SPECTROSCOPY;SPECTRAL DATABASE;TEXTILE FIBRE"
"SPECTROSCOPIC TECHNIQUES FOR THE FORENSIC ANALYSIS OF TEXTILE FIBERS"	2016	"PREGO MELEIRO P;GARCIA-RUIZ C;MELEIRO PP"	"TEXTILE FIBER; UV-VIS MICROSPECTROPHOTOMETRY; RAMAN SPECTROSCOPY; FTIR; SPECTROSCOPY; INFRARED CHEMICAL IMAGING; SPECTROSCOPY; X-RAY; FLUORESCENCE SPECTROSCOPY; COTTON; WOOL; POLYESTER"	"RAMAN-SPECTROSCOPY; COTTON CELLULOSE; EVIDENTIAL VALUE; MOUNTING MEDIUM;; ACRYLIC FIBERS; PART 1; MICROSCOPY; DYES; SPECTRA; BLUE"	"COTTON;  FTIR SPECTROSCOPY;  INFRARED CHEMICAL IMAGING SPECTROSCOPY;  POLYESTER;  RAMAN SPECTROSCOPY;  TEXTILE FIBER;  UV-VIS MICROSPECTROPHOTOMETRY;  WOOL;  X-RAY FLUORESCENCE SPECTROSCOPY"	"CHEMICAL ANALYSIS;COTTON;FIBERS;FLUORESCENCE;FLUORESCENCE SPECTROSCOPY;POLYESTERS;RAMAN SPECTROSCOPY;SPECTROSCOPIC ANALYSIS;SPECTRUM ANALYSIS;TEXTILE FIBERS;TEXTILES;WOOL;COMPLEMENTARY TECHNIQUES;COMPREHENSIVE ANALYSIS;FTIR SPECTROSCOPY;INFRARED CHEMICAL IMAGING;MICROSPECTROPHOTOMETRY;RAMAN AND FTIR SPECTROSCOPY;SPECTROSCOPIC TECHNIQUE;X RAY FLUORESCENCE SPECTROSCOPY;FOURIER TRANSFORM INFRARED SPECTROSCOPY"	"GARCIA-RUIZ, C (REPRINT AUTHOR), UNIV ALCALA DE HENARES, DEPT ANALYT CHEM PHYS CHEM \& CHEM ENGN, MULTIPURPOSE BLDG CHEM, ALCALA DE HENARES 28871, MADRID, SPAIN; PREGO MELEIRO, PABLO; GARCIA-RUIZ, CARMEN, UNIV ALCALA DE HENARES, DEPT ANALYT CHEM PHYS CHEM \& CHEM ENGN, MULTIPURPOSE BLDG CHEM, ALCALA DE HENARES 28871, MADRID, SPAIN; PREGO MELEIRO, PABLO; GARCIA-RUIZ, CARMEN, UNIV ALCALA DE HENARES, UNIV INST RES POLICE SCI IUICP, ALCALA DE HENARES, MADRID, SPAIN"	"DEPARTMENT OF ANALYTICAL CHEMISTRY,PHYSICAL CHEMISTRY AND CHEMICAL ENGINEERING,UNIVERSITY OF ALCAL,MULTIPURPOSE BUILDING OF CHEMISTRY,CTRA. MADRID-BARCELONA KM 33.600,ALCALA DE HENARES (MADRID),28871,SPAIN; UNIVERSITY INSTITUTE OF RESEARCH IN POLICE SCIENCES (IUICP),ALCAL DE HENARES (MADRID),SPAIN"	"10.1080/05704928.2015.1132720"	"APPLIED SPECTROSCOPY REVIEWS"	"REVIEW ARTICLE"	"TEXTILE FIBER;UV-VIS MICROSPECTROPHOTOMETRY;RAMAN SPECTROSCOPY;FTIR;SPECTROSCOPY;INFRARED CHEMICAL IMAGING;X-RAY;FLUORESCENCE SPECTROSCOPY;COTTON;WOOL;POLYESTER;FTIR SPECTROSCOPY;INFRARED CHEMICAL IMAGING SPECTROSCOPY;X-RAY FLUORESCENCE SPECTROSCOPY"
"STUDY OF UV FIBER'S MECHANICAL PROPERTIES"	2009	"TU F;QIAN X;LIU D;ZHANG S;LUO J;DENG T;YANG C;GUO J"	""	""	"DOPING CONTENT;  MECHANICAL PERFORMANCE;  TENSILE STRENGTH;  ULTRA VIOLET (UV) FIBER"	"NA"	NA	"WUHAN NATIONAL LABORATORY FOR OPTOELECTRONICS,HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,WUHAN,430074,CHINA; COLLEGE OF OPTOELECTRONIC SCIENCE AND ENGINEERING,CHINA; RESEARCH AND DEVELOPMENT CENTER,YANGTZE OPTICAL FIBRE AND CABLE CO.,LTD.,CHINA"	"10.1007/s12200-009-0041-9"	"FRONTIERS OF OPTOELECTRONICS IN CHINA"	"ARTICLE"	";DOPING CONTENT;MECHANICAL PERFORMANCE;TENSILE STRENGTH;ULTRA VIOLET (UV) FIBER"
"TEARING OR RIPPING OF FABRICS"	2017	"DANN T;MALBON C"	""	""	"FABRIC;  RIP;  RIPPING;  SEVERANCE;  TEAR;  TEARING;  TEXTILES"	"TEXTILES;FORENSIC EXAMINATIONS;LABORATORY ENVIRONMENT;RIPPING;SEVERANCE;TEAR;TEARING;FABRICS"	NA	"UNIVERSITY OF OTAGO,DUNEDIN,NEW ZEALAND; CRANFIELD UNIVERSITY,SHRIVENHAM,UNITED KINGDOM"	"10.1016/B978-0-08-101872-9.00008-X"	"FORENSIC TEXTILE SCIENCE"	"BOOK CHAPTER"	";FABRIC;RIP;RIPPING;SEVERANCE;TEAR;TEARING;TEXTILES"
"TERAHERTZ TIME DOMAIN SPECTROSCOPY FOR THE IDENTIFICATION OF TWO CELLULOSIC FIBERS WITH SIMILAR CHEMICAL COMPOSITION"	2013	"YAN C;YANG B;YU Z"	"BAMBOO; FIBERS; GLUCOSE; NUMERICAL SIMULATION; RAMIE; TERAHERTZ"	"ABSORPTION-SPECTRA; FORENSIC ANALYSIS; POLYMORPHS; MODES; WAVE"	""	""	"YANG, B (REPRINT AUTHOR), ZHEJIANG SCI TECH UNIV, KEY LAB ADV TEXT MAT \& MFG TECHNOL, HANGZHOU, ZHEJIANG, PEOPLES R CHINA; YAN, CHAO; YANG, BIN; YU, ZHICHENG, ZHEJIANG SCI TECH UNIV, KEY LAB ADV TEXT MAT \& MFG TECHNOL, HANGZHOU, ZHEJIANG, PEOPLES R CHINA; YU, ZHICHENG, ECOL ENGN RES CTR DYEING \& FINISHING TECHNOL, HANGZHOU, ZHEJIANG, PEOPLES R CHINA"	NA	"10.1080/00032719.2012.747098"	"ANALYTICAL LETTERS"	"ARTICLE"	"BAMBOO;FIBERS;GLUCOSE;NUMERICAL SIMULATION;RAMIE;TERAHERTZ"
"TEXTILE AND FIBER DAMAGE"	2013	"WAS-GUBALA J"	""	""	"BIODEGRADATION;  CUTTING;  ENVIRONMENTAL DAMAGE;  EXPLOSION EFFECTS;  FIBER;  LAUNDERING EFFECTS;  MECHANICAL DAMAGE;  MICROBIOLOGICAL DAMAGE;  TEARING;  TEXTILE;  THERMAL DAMAGE;  WEAR AND TEAR"	"NA"	NA	"INSTITUTE OF FORENSIC RESEARCH,KRAKOW,POLAND"	"10.1016/B978-0-12-382165-2.00094-5"	"ENCYCLOPEDIA OF FORENSIC SCIENCES: SECOND EDITION"	"BOOK CHAPTER"	";BIODEGRADATION;CUTTING;ENVIRONMENTAL DAMAGE;EXPLOSION EFFECTS;FIBER;LAUNDERING EFFECTS;MECHANICAL DAMAGE;MICROBIOLOGICAL DAMAGE;TEARING;TEXTILE;THERMAL DAMAGE;WEAR AND TEAR"
"THE CHANGING FACE OF FIBRE EXAMINATIONS IN FORENSIC SCIENCE"	2002	"GRIEVE MC"	""	""	"DEVELOPMENT;  FIBRES EXAMINATION"	"ANALYTIC METHOD;CLOTHING;CONFERENCE PAPER;CRIME;CRIMINAL JUSTICE;FIBER;FORENSIC SCIENCE;FORGERY;LABORATORY;MOTOR VEHICLE;SPECTROFLUOROMETRY;TEXTILE FIBER;THEFT;TRAFFIC ACCIDENT"	NA	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"CONFERENCE PAPER"	";DEVELOPMENT;FIBRES EXAMINATION"
"THE EVALUATION OF FIBER TRANSFER EVIDENCE IN FORENSIC-SCIENCE - A CASE-STUDY IN STATISTICAL MODELING"	1991	"WAKEFIELD JC;SKENE AM;SMITH AFM;EVETT LW"	"BAYESIAN INFERENCE; COLOR MEASUREMENTS; FORENSIC SCIENCE; KERNEL DENSITY; ESTIMATION; LIKELIHOOD RATIO; MODELING WITHIN-GARMENT VARIABILITY"	""	""	""	"UNIV NOTTINGHAM, DEPT MATH, UNIV PK, NOTTINGHAM NG7 2RD, ENGLAND; IMPERIAL COLL SCI TECHNOL \& MED, LONDON, ENGLAND; HOME OFF FORENS SCI SERV, CENT RES \& SUPPORT ESTAB, ALDERMASTON, ENGLAND"	NA	""	"JOURNAL OF THE ROYAL STATISTICAL SOCIETY. SERIES C: APPLIED STATISTICS"	"ARTICLE"	"BAYESIAN INFERENCE;COLOR MEASUREMENTS;FORENSIC SCIENCE;KERNEL DENSITY;ESTIMATION;LIKELIHOOD RATIO;MODELING WITHIN-GARMENT VARIABILITY"
"THE EVIDENTIAL VALUE OF BLACK COTTON FIBRES"	2001	"GRIEVE MC;BIERMANN TW;DAVIGNON M"	"FORENSIC SCIENCE; FIBRES; COTTON; (BLACK) DYES; MICROSPECTROPHOTOMETRY; SPECTRAL FREQUENCY; DICHROISM"	"FIBER"	"BLACK DYES;  COTTON;  FIBRES;  FREQUENCY;  SPECTRA;(BLACK) DYES;  COTTON;  DICHROISM;  FIBRES;  FORENSIC SCIENCE;  MICROSPECTROPHOTOMETRY;  SPECTRAL FREQUENCY"	"DYE;COLOR;CONFERENCE PAPER;COTTON;FIBER;FORENSIC SCIENCE;SPECTROPHOTOMETRY;ULTRAVIOLET RADIATION;WOOL;DYE;SULFUR;ARTICLE;COLOR;COTTON;FORENSIC SCIENCE;SPECTRUM;TEXTILE;ULTRAVIOLET SPECTROPHOTOMETRY"	"GRIEVE, MC (REPRINT AUTHOR), FORENS SCI INST, TEXTILKUNDE KT 33, THAERSTR 11, D-65193 WIESBADEN, GERMANY; FORENS SCI INST, TEXTILKUNDE KT 33, D-65193 WIESBADEN, GERMANY; FACHHSCH TEXT TECH \& GESTALTUNG, D-95213 MUNCHEBERG, GERMANY"	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY,TEXTILKUNDE KT 33,FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,THAERSTRAE 11,65193 WIESBADEN,GERMANY; FACHHOCHSCHULE FR TEXTILTECHNIK UND GESTALTUNG,KULMBACHER STRASSE 26,95213 MNCHBERG,GERMANY"	"10.1016/S1355-0306(01)71908-9"	"SCIENCE AND JUSTICE Z ZAGADNIEN NAUK SADOWYCH SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE CONFERENCE PAPER"	"FORENSIC SCIENCE;FIBRES;COTTON;(BLACK) DYES;MICROSPECTROPHOTOMETRY;SPECTRAL FREQUENCY;DICHROISM;BLACK DYES;FREQUENCY;SPECTRA"
"THE FORENSIC STUDY OF SINGLE FIBRE PULL-OUT SPECIMENS USING TOF-SIMS"	2007	"WOOD AR;SMITH PA;WATTS JF"	"SINGLE FIBRE PULL-OUT; TOF-SIMS; INTERFACE; COMPOSITES"	"POLYMER INTERFACE; EPOXY COMPOSITES; FRACTURE; MICROMECHANICS;; NANOCOMPOSITES; INTERPHASE; STRENGTH; SURFACES; MATRIX; TESTS"	"COMPOSITES;  INTERFACE;  SINGLE FIBRE PULL-OUT;  TOF-SIMS"	"ADHESION;FINITE ELEMENT METHOD;GLASS FIBERS;INTERFACES (MATERIALS);POLYESTERS;PRINCIPAL COMPONENT ANALYSIS;SECONDARY ION MASS SPECTROMETRY;SURFACE CHEMISTRY;INTERFACIAL INTERACTION;POLYESTER MATRIX SYSTEM;RETROSPECTIVE SPECTRAL ANALYSIS;SINGLE FIBRE PULL-OUT;SURFACE ANALYSIS"	"WOOD, AR (REPRINT AUTHOR), UNIV SURREY, SCH ENGN, SURREY MAT INST, GUILDFORD GU2 7XH, SURREY, ENGLAND; UNIV SURREY, SCH ENGN, SURREY MAT INST, GUILDFORD GU2 7XH, SURREY, ENGLAND"	"SURREY MATERIALS INSTITUTE AND SCHOOL OF ENGINEERING,UNIVERSITY OF SURREY,GUILDFORD,SURREY,GU2 7XH,UNITED KINGDOM"	"10.1163/156855407780452878"	"COMPOSITE INTERFACES"	"ARTICLE CONFERENCE PAPER"	"SINGLE FIBRE PULL-OUT;TOF-SIMS;INTERFACE;COMPOSITES"
