"TI"	"PY"	"AU"	"AIKW"	"IDW"	"AIKS"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"AIK"
"CASE PRE-ASSESSMENT AND REVIEW IN A TWO-WAY TRANSFER CASE"	1999	"COOK R;EVETT LW;JACKSON G;JONES PJ;LAMBERT JA"	"FORENSIC SCIENCE; BAYESIAN INFERENCE; LIKELIHOOD RATIO; PROBABILITY; STATISTICS; DECISION-MAKING; FIBRES"	"SIMULATED CONTACTS; CLOTHING MATERIALS; FIBERS; PERSISTENCE; WEAR"	"BAYESIAN INFERENCE;  DECISION-MAKING;  FIBRES;  FORENSIC SCIENCE;  LIKELIHOOD RATIO;  PROBABILITY;  STATISTICS"	"ARTICLE;CLOTHING;FIBER;FORENSIC SCIENCE;HYPOTHESIS;PROBABILITY;STATISTICS"	"EVETT, IW (CORRESPONDING AUTHOR), FORENS SCI SERV, 109 LAMBETH RD, LONDON SE1 7LP, ENGLAND; FORENS SCI SERV, LONDON SE1 7LP, ENGLAND; FORENS SCI SERV, CHEPSTOW NP6 6YE, WALES; FORENS SCI SERV, CHORLEY PR7 6HJ, ENGLAND; FORENS SCI SERV, WETHERBY LS22 4DN, ENGLAND; FORENS SCI SERV, BIRMINGHAM B5 6QQ, W MIDLANDS, ENGLAND"	"FORENSIC SCIENCE SERVICE,USK ROAD,CHEPSTOW NP6 6YE,UNITED KINGDOM; FORENSIC SCIENCE SERVICE,109 LAMBETH RD,LONDON SE1 7LP,WASHINGTON HALL,EUXTON,CHORLEY PR7 6HJ,SANDBECK WAY,AUDBY LANE,WETHERBY LS22 4DN,PRIORY HOUSE,GOOCH ST NORTH,BIRMINGHAM B5 6QQ,UNITED KINGDOM"	"FORENSIC SCIENCE SERVICE,USK ROAD,CHEPSTOW NP6 6YE,UNITED KINGDOM; FORENSIC SCIENCE SERVICE,109 LAMBETH RD,LONDON SE1 7LP,WASHINGTON HALL,EUXTON,CHORLEY PR7 6HJ,SANDBECK WAY,AUDBY LANE,WETHERBY LS22 4DN,PRIORY HOUSE,GOOCH ST NORTH,BIRMINGHAM B5 6QQ,UNITED KINGDOM"	"10.1016/S1355-0306(99)72028-9"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;BAYESIAN INFERENCE;LIKELIHOOD RATIO;PROBABILITY;STATISTICS;DECISION-MAKING;FIBRES"
"CHANCES AND LIMITATIONS OPERATING WITH POTENTIALLY CRIME-RELEVANT TEXTILE FIBRE TRACES"	2001	"STAUBER M"	""	""	"FIBRES;  LABORATORY PROCEDURE;  POLICE PROCEDURE"	"CLOTHING;CONFERENCE PAPER;CRIME;EXPERT WITNESS;LABORATORY TEST;MICROSCOPY;TEXTILE FIBER"	NA	"LANDESKRIMINALAMT,NORDRHEIN-WESTFALEN,DSSELDORF,GERMANY"	"LANDESKRIMINALAMT,NORDRHEIN-WESTFALEN,DSSELDORF,GERMANY"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"CONFERENCE PAPER"	"Scopus"	";FIBRES;LABORATORY PROCEDURE;POLICE PROCEDURE"
"CHANGES OF COLOR COORDINATES OF BIOLOGICAL TISSUE WITH SUPERFICIAL SKIN DAMAGE DUE TO MECHANICAL TRAUMA"	2015	"PTERUK V;MOKANYUK O;KVATERNUK O;YAKENINA L;KOTYRA A;ROMANIUK RS;DUSSEMBAYEVA S"	""	""	"BIOLOGICAL TISSUES;  COLOR SPACE;  HUMAN SKIN.;  MATHEMATICAL MODEL"	"COLOR;DERMATOLOGY;HISTOLOGY;LIGHT SOURCES;MATHEMATICAL MODELS;OPTICAL FIBERS;BIOLOGICAL TISSUES;COLOR COORDINATES;COLOR SPACE;DIFFUSE REFLECTION;HUMAN SKIN;SKIN DAMAGE;TISSUE"	NA	"VINNYTSIA NATIONAL TECHNICAL UNIVERSITY,KHMELNYTSKE SHOSE,95,VINNITSA,21021,UKRAINE; VINNYTSIA NATIONAL MEDICAL UNIVERSITY,STR. PIROGOV 56,VINNYTSIA,21018,UKRAINE; VINNYTSIA HUMANITARIAN PEDAGOGICAL COLLEGE,UKRAINE; LUBLIN UNIVERSITY OF TECHNOLOGY,NADBYSTRZYCKA 38D,LUBLIN,20-618,POLAND; WARSAW UNIVERSITY OF TECHNOLOGY,FACULTY OF ELECTRONICS AND INFORMATION TECHNOLOGY,INSTITUTE OF ELECTRONIC SYSTEMS,POLAND; KAZAKH NATIONAL RESEARCH TECHNICAL UNIVERSITY AFTER K. I. SATPAEV,22,SATPAEV STREET,ALMATY,050013,KAZAKHSTAN"	"VINNYTSIA NATIONAL TECHNICAL UNIVERSITY,KHMELNYTSKE SHOSE,95,VINNITSA,21021,UKRAINE; VINNYTSIA NATIONAL MEDICAL UNIVERSITY,STR. PIROGOV 56,VINNYTSIA,21018,UKRAINE; VINNYTSIA HUMANITARIAN PEDAGOGICAL COLLEGE,UKRAINE; LUBLIN UNIVERSITY OF TECHNOLOGY,NADBYSTRZYCKA 38D,LUBLIN,20-618,POLAND; WARSAW UNIVERSITY OF TECHNOLOGY,FACULTY OF ELECTRONICS AND INFORMATION TECHNOLOGY,INSTITUTE OF ELECTRONIC SYSTEMS,POLAND; KAZAKH NATIONAL RESEARCH TECHNICAL UNIVERSITY AFTER K. I. SATPAEV,22,SATPAEV STREET,ALMATY,050013,KAZAKHSTAN"	"10.1117/12.2229037"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"CONFERENCE PAPER"	"Scopus"	";BIOLOGICAL TISSUES;COLOR SPACE;HUMAN SKIN.;MATHEMATICAL MODEL"
"CHARACTERISTIC DYE ABSORPTION PEAKS FOUND IN THE FTIR SPECTRA OF COLOURED ACRYLIC FIBRES"	1998	"GRIEVE MC;GRIFFIN RME;MALONE R"	"FORENSIC SCIENCE; FIBRES; ACRYLIC; DYES (BASIC); FTIR-MICROSPECTROSCOPY"	"FIBERS; MICROSCOPY"	"ACRYLIC;  DYES (BASIC);  FIBRES;  FORENSIC SCIENCE;  FTIR-MICROSPECTROSCOPY"	"DYE;POLYACRYLIC ACID;ABSORPTION;ARTICLE;COLOR;FIBER;FOURIER TRANSFORMATION;HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;INFRARED SPECTROSCOPY;RAMAN SPECTROMETRY;TEXTILE"	"GRIEVE, MC (CORRESPONDING AUTHOR), BUNDESKRIMINALAMT, FORENS SCI INST KT33, THAERSTR 11, D-65193 WIESBADEN, GERMANY; BUNDESKRIMINALAMT, FORENS SCI INST KT33, D-65193 WIESBADEN, GERMANY; FORENS SCI AGCY NO IRELAND, CARRICKFERGUS BT38 8PL, NORTH IRELAND"	"KT33 FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,THAERSTRAE 11,65193 WIESBADEN,GERMANY; FORENSIC SCI. AGY. OF N. IRELAND,151 BELFAST RD,CARRICKFERGUS BT38 8PL,UNITED KINGDOM"	"KT33 FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,THAERSTRAE 11,65193 WIESBADEN,GERMANY; FORENSIC SCI. AGY. OF N. IRELAND,151 BELFAST RD,CARRICKFERGUS BT38 8PL,UNITED KINGDOM"	"10.1016/S1355-0306(98)72070-2"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;FIBRES;ACRYLIC;DYES (BASIC);FTIR-MICROSPECTROSCOPY"
"CHARACTERIZATION OF CONCRETE AND CORROSION OF STEEL FIBERS EMBEDDED IN DRY-CAST CONCRETE PIPE"	2016	"PRESUEL-MORENO F"	""	""	"CONCRETE CHARACTERIZATION;  CORROSION;  DRY-CAST CONCRETE;  STEEL FIBER"	"CHLORINE COMPOUNDS;CONCRETE PIPE;CONCRETES;CORROSION;CORROSION RESISTANCE;FIBER REINFORCED MATERIALS;FIBERS;POROSITY;REINFORCED CONCRETE;STEEL CASTINGS;CHLORIDE CONCENTRATIONS;CONCRETE DURABILITY;CONCRETE POROSITY;CONCRETE SPECIMENS;CORROSION OF STEEL;CORROSION POTENTIALS;FORENSIC EXAMINATIONS;STEEL FIBER REINFORCED CONCRETES;STEEL FIBERS"	NA	"FLORIDA ATLANTIC UNIVERSITY,DEPARTMENT OF OCEAN AND MECHANICAL ENGINEERING,FAU-SEATECH,101 NORTH BEACH RD.,DANIA BEACH,FL  33004,UNITED STATES"	"FLORIDA ATLANTIC UNIVERSITY,DEPARTMENT OF OCEAN AND MECHANICAL ENGINEERING,FAU-SEATECH,101 NORTH BEACH RD.,DANIA BEACH,FL  33004,UNITED STATES"	""	"NACE - INTERNATIONAL CORROSION CONFERENCE SERIES"	"CONFERENCE PAPER"	"Scopus"	";CONCRETE CHARACTERIZATION;CORROSION;DRY-CAST CONCRETE;STEEL FIBER"
"CHEMICAL ANALYSIS OF DYES ON AN UZBEK CEREMONIAL COAT: OBJECTIVE EVIDENCE FOR ARTIFACT DATING AND THE CHEMISTRY OF EARLY SYNTHETIC DYES"	2016	"CHEN VJ;SMITH GD;HOLDEN A;PAYDAR N;KIEFER K"	"DYE ANALYSIS; CENTRAL ASIAN TEXTILE; UZBEK CEREMONIAL COAT; NATURAL AND; SYNTHETIC DYES; CULTURAL HERITAGE"	"PERFORMANCE LIQUID-CHROMATOGRAPHY; MASS-SPECTROMETRY; FORENSIC ANALYSIS;; ORGANIC-DYES; IDENTIFICATION; FIBERS; SPECTRA"	""	""	"CHEN, VJ (CORRESPONDING AUTHOR), INDIANAPOLIS MUSEUM ART, 4000 MICHIGAN RD, INDIANAPOLIS, IN 46208 USA; CHEN, VICTOR J; SMITH, GREGORY D; HOLDEN, AMANDA; PAYDAR, NILOO; KIEFER, KATHLEEN, INDIANAPOLIS MUSEUM ART, 4000 MICHIGAN RD, INDIANAPOLIS, IN 46208 USA"	"CHEN, VJ (CORRESPONDING AUTHOR), INDIANAPOLIS MUSEUM ART, 4000 MICHIGAN RD, INDIANAPOLIS, IN 46208 USA; CHEN, VICTOR J; SMITH, GREGORY D; HOLDEN, AMANDA; PAYDAR, NILOO; KIEFER, KATHLEEN, INDIANAPOLIS MUSEUM ART, 4000 MICHIGAN RD, INDIANAPOLIS, IN 46208 USA"	NA	"10.1016/j.dyepig.2016.04.019"	"DYES AND PIGMENTS"	"ARTICLE"	"WebOfScience"	"DYE ANALYSIS;CENTRAL ASIAN TEXTILE;UZBEK CEREMONIAL COAT;NATURAL AND;SYNTHETIC DYES;CULTURAL HERITAGE"
"CHEMICAL NOSE FOR DISCRIMINATION OF OPIOIDS BASED ON UNMODIFIED GOLD NANOPARTICLES"	2017	"MOHSENI N;BAHRAM M;BAHERI T"	""	""	"AGGREGATION;  COLORIMETRIC NANOARRAY;  GOLD NANOPARTICLES;  OPIOIDS;  PATTERN RECOGNITION ALGORITHMS"	"AGGLOMERATION;CHEMICAL ANALYSIS;CLUSTER ANALYSIS;COLOR;FIBER OPTIC SENSORS;GOLD;HIERARCHICAL SYSTEMS;METAL NANOPARTICLES;NANOPARTICLES;PATTERN RECOGNITION;PRINCIPAL COMPONENT ANALYSIS;COLORIMETRIC SENSOR ARRAYS;GOLD NANOPARTICLES;HIERARCHICAL CLUSTER ANALYSIS;NANOARRAYS;OPIOIDS;PATTERN RECOGNITION ALGORITHMS;SEMI-QUANTITATIVE ANALYSIS;UNMODIFIED GOLD NANOPARTICLES;COLORIMETRY"	NA	"DEPARTMENT OF ANALYTICAL CHEMISTRY,FACULTY OF CHEMISTRY,URMIA UNIVERSITY,URMIA,IRAN; THE RESEARCH CENTER OF ANTI-NARCOTICS POLICE,TEHRAN,IRAN"	"DEPARTMENT OF ANALYTICAL CHEMISTRY,FACULTY OF CHEMISTRY,URMIA UNIVERSITY,URMIA,IRAN; THE RESEARCH CENTER OF ANTI-NARCOTICS POLICE,TEHRAN,IRAN"	"10.1016/j.snb.2017.04.145"	"SENSORS AND ACTUATORS B: CHEMICAL"	"ARTICLE"	"Scopus"	";AGGREGATION;COLORIMETRIC NANOARRAY;GOLD NANOPARTICLES;OPIOIDS;PATTERN RECOGNITION ALGORITHMS"
"CHEMICAL REACTIONS IN LIQUID-PHASE MICROEXTRACTION"	2009	"XU L;BASHEER C;LEE HK"	"LIQUID-PHASE MICROEXTRACTION; HOLLOW FIBERS; CHEMICAL REACTIONS; ION; PAIRING; COMPLEXATION; DERIVATIZATION; CATALYSIS"	"SINGLE-DROP MICROEXTRACTION; CHROMATOGRAPHY-MASS-SPECTROMETRY;; ATOMIC-ABSORPTION-SPECTROMETRY; IN-SITU DERIVATIZATION;; INJECTION-PORT-DERIVATIZATION; CARRIER-MEDIATED TRANSPORT; VAPORIZATION; ICP-MS; WATER SAMPLES; BIOLOGICAL SAMPLES; AROMATIC-AMINES"	"CATALYSIS;  CHEMICAL REACTIONS;  COMPLEXATION;  DERIVATIZATION;  HOLLOW FIBERS;  ION PAIRING;  LIQUID-PHASE MICROEXTRACTION"	"ANALYTE;ANALYTE ENRICHMENTS;ANALYTES;ANALYTICAL SYSTEMS;DERIVATIZATION;DETECTION SENSITIVITIES;EXTRACTABILITY;EXTRACTION PROCESSES;FORENSIC ANALYSES;HOLLOW FIBERS;IN-SITU;ION PAIRING;LIQUID EXTRACTIONS;MEMBRANE TRANSPORTS;PRETREATMENT TECHNIQUES;SOLVENT VOLUME RATIOS;CATALYSIS;CHEMICAL REACTIONS;COMPLEXATION;GRAFTING (CHEMICAL);IONS;SOLVENT EXTRACTION;SOLVENTS;SYNTHESIS (CHEMICAL);EXTRACTION;4;4' ISOPROPYLIDENEDIPHENOL;ACETIC ACID DERIVATIVE;ACETONE;ALDEHYDE;ALIPHATIC AMINE;AMINE;ANABOLIC AGENT;ANILINE;CARBAMIC ACID;CARBONYL DERIVATIVE;CARBOXYLIC ACID;CHLOROPHENOL;CHROMIUM;FORMALDEHYDE;HERBICIDE;ORGANOTIN COMPOUND;PHENOL;PHOSPHONIC ACID DERIVATIVE;TRICLOSAN;VOLATILE ORGANIC COMPOUND;ACTIVE TRANSPORT;CHEMICAL REACTION;COMPLEX FORMATION;ION PAIR EXTRACTION;LIQUID PHASE MICROEXTRACTION;MEMBRANE TRANSPORT;PRIORITY JOURNAL;REVIEW;CHEMICAL FRACTIONATION;MICROCHEMISTRY"	"LEE, HK (CORRESPONDING AUTHOR), NATL UNIV SINGAPORE, DEPT CHEM, 3 SCI DR 3, SINGAPORE 117543, SINGAPORE; XU, LI; BASHEER, CHANBASHA; LEE, HIAN KEE, NATL UNIV SINGAPORE, DEPT CHEM, SINGAPORE 117543, SINGAPORE"	"DEPARTMENT OF CHEMISTRY,NATIONAL UNIVERSITY OF SINGAPORE,3 SCIENCE DRIVE 3,SINGAPORE,117543"	"DEPARTMENT OF CHEMISTRY,NATIONAL UNIVERSITY OF SINGAPORE,3 SCIENCE DRIVE 3,SINGAPORE,117543"	"10.1016/j.chroma.2008.10.005"	"JOURNAL OF CHROMATOGRAPHY A"	"REVIEW"	"Scopus,WebOfScience"	"LIQUID-PHASE MICROEXTRACTION;HOLLOW FIBERS;CHEMICAL REACTIONS;ION;PAIRING;COMPLEXATION;DERIVATIZATION;CATALYSIS;ION PAIRING"
"CHOKING ON FOOD: A RARE CASE OF ALEXANDER LEUKODYSTROPHY AND CHOKING"	2008	"MURTY OP;MUN K;GOPINAT N"	""	""	"ACCIDENTAL DEATH BY CHOKING;  ALEXANDER LEUKODYSTROPHY;  CHOKING AND CNS DISEASE;  CHOKING ON FOOD;  LEUKODYSTROPHY;  ROSENTHAL FIBERS"	"ADULT;AIRWAY OBSTRUCTION;ALEXANDER LEUKODYSTROPHY;ARTICLE;ASPHYXIA;AUTOPSY;BRAIN DISEASE;CASE REPORT;DYSPNEA;FEMALE;FOOD;HISTOPATHOLOGY;HUMAN;HUMAN TISSUE;LARYNX;NURSING HOME;PHARYNX;WHITE MATTER;ALEXANDER DISEASE;BRAIN;FORENSIC PATHOLOGY;MIDDLE AGED;PATHOLOGY;HUMANS"	NA	"DEPARTMENT OF PATHOLOGY,FACULTY OF MEDICINE,UNIVERSITY OF MALAYA,KUALA LUMPUR,MALAYSIA"	"DEPARTMENT OF PATHOLOGY,FACULTY OF MEDICINE,UNIVERSITY OF MALAYA,KUALA LUMPUR,MALAYSIA"	"10.1097/PAF.0b013e3181859ff7"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"ARTICLE"	"Scopus"	";ACCIDENTAL DEATH BY CHOKING;ALEXANDER LEUKODYSTROPHY;CHOKING AND CNS DISEASE;CHOKING ON FOOD;LEUKODYSTROPHY;ROSENTHAL FIBERS"
"CLASSIFYING SINGLE FIBERS BASED ON FLUORINATED SURFACE TREATMENTS"	2019	"DOLAN J;BLACKLEDGE RD;JORABCHI K;DOLAN MJ"	"ELEMENTAL MASS SPECTROMETRY; FORENSIC; FIBER COATING; FLUORINE"	"COLORED TEXTILE FIBERS; COTTON; POPULATION; IONIZATION; SUBSTANCES;; WATER"	"ELEMENTAL MASS SPECTROMETRY;  FIBER COATING;  FLUORINE;  FORENSIC"	"CLUSTER ANALYSIS;COATINGS;FLUORINE;FLUORINE CONTAINING POLYMERS;FORENSIC SCIENCE;GAS CHROMATOGRAPHY;HIERARCHICAL SYSTEMS;IONIZATION OF GASES;MASS SPECTROMETRY;SURFACE TREATMENT;ANALYTICAL CHALLENGE;FIBER COATINGS;FIBER SURFACE MODIFICATIONS;FLUOROPOLYMER COATING;FORENSIC;HIERARCHICAL CLUSTER ANALYSIS;PYROLYSIS-GAS CHROMATOGRAPHY-MASS SPECTROMETRIES;WATER-REPELLENT PROPERTIES;FIBERS"	"JORABCHI, K (CORRESPONDING AUTHOR), GEORGETOWN UNIV, DEPT CHEM, WASHINGTON, DC 20057 USA; DOLAN, MICHAEL J, JR; BLACKLEDGE, ROBERT D; JORABCHI, KAVEH, GEORGETOWN UNIV, DEPT CHEM, WASHINGTON, DC 20057 USA"	"DEPARTMENT OF CHEMISTRY,GEORGETOWN UNIVERSITY,WASHINGTON,DC,UNITED STATES; SAN DIEGO,UNITED STATES"	"DEPARTMENT OF CHEMISTRY,GEORGETOWN UNIVERSITY,WASHINGTON,DC,UNITED STATES; SAN DIEGO,UNITED STATES"	"10.1007/s00216-019-01596-6"	"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	"ARTICLE"	"Scopus,WebOfScience"	"ELEMENTAL MASS SPECTROMETRY;FORENSIC;FIBER COATING;FLUORINE"
"CLOTH(ING) FOR THE DEAD: CASE STUDY OF THREE DESIGNERS' GREEN BURIAL PRACTICES"	2017	"MICHEL GM;LEE YA"	"BURIAL CLOTHING; CRADLE-TO-CRADLE; FIBERS; GREEN BURIAL; SUSTAINABILITY"	"BIODEGRADATION; DEGRADATION; FABRICS"	"BURIAL CLOTHING;  CRADLE-TO-CRADLE;  FIBERS;  GREEN BURIAL;  SUSTAINABILITY"	"NA"	"MICHEL, GM (CORRESPONDING AUTHOR), IOWA STATE UNIV, DEPT APPAREL EVENTS \& HOSPITALITY MANAGEMENT, 2302 OSBORN DR, AMES, IA 50011 USA; MICHEL, GWENDOLYN M; LEE, YOUNG-A, IOWA STATE UNIV, DEPT APPAREL EVENTS \& HOSPITALITY MANAGEMENT, 2302 OSBORN DR, AMES, IA 50011 USA"	"DEPARTMENT OF APPAREL,EVENTS,AND HOSPITALITY MANAGEMENT,IOWA STATE UNIVERSITY,2302 OSBORN DRIVE,AMES,IA  50011-1078,UNITED STATES"	"DEPARTMENT OF APPAREL,EVENTS,AND HOSPITALITY MANAGEMENT,IOWA STATE UNIVERSITY,2302 OSBORN DRIVE,AMES,IA  50011-1078,UNITED STATES"	"10.1186/s40691-017-0088-y"	"FASHION AND TEXTILES"	"ARTICLE"	"Scopus,WebOfScience"	"BURIAL CLOTHING;CRADLE-TO-CRADLE;FIBERS;GREEN BURIAL;SUSTAINABILITY"
"COLOR 3D ELECTRONIC IMAGING OF THE SURFACE OF THE HUMAN BODY"	1994	"RIOUX M"	""	""	"3D MEASUREMENT;  ANTHROPOMETRY;  COLOR;  ELECTRONIC IMAGING;  FORENSIC;  LASER SCANNING;  RANGE SENSING;  SHAPE"	"ANTHROPOMETRY;COLOR;INSPECTION;LASER APPLICATIONS;OPTICAL FIBERS;SATELLITE COMMUNICATION SYSTEMS;SCANNING;3-D MEASUREMENT;ELECTRONIC IMAGING;FORENSIC;LASER SCANNING;RANGE SENSING;SHAPE;FACE RECOGNITION"	NA	"AUTONOMOUS SYSTEMS LABORATORY,INSTITUTE FOR INFORMATION TECHNOLOGY,NATIONAL RESEARCH COUNCIL CANADA,OTTAWA,K1A 0R6,CANADA"	"AUTONOMOUS SYSTEMS LABORATORY,INSTITUTE FOR INFORMATION TECHNOLOGY,NATIONAL RESEARCH COUNCIL CANADA,OTTAWA,K1A 0R6,CANADA"	"10.1117/12.191892"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"CONFERENCE PAPER"	"Scopus"	";3D MEASUREMENT;ANTHROPOMETRY;COLOR;ELECTRONIC IMAGING;FORENSIC;LASER SCANNING;RANGE SENSING;SHAPE"
"COMMENTS ON UNASSISTED SMOTHERING IN A PILLOW"	2011	"SCHYMA C;MADEA B"	""	""	"FIBRES;  PILLOW;  SMOTHERING;  TRACHEOBRONCHIAL LAVAGE"	"ACID ASPIRATION;AGED;ASPHYXIA;BED;CASE REPORT;CERVICAL SPINE;CONTUSION;FEMALE;FORENSIC PATHOLOGY;HEART MUSCLE;HEMATOMA;HOMICIDE;HUMAN;INJURY;LIP;LUNG LAVAGE;NOTE;PATHOLOGY;PURPURA;RIB FRACTURE;TEXTILE;BEDDING AND LINENS;BRONCHOALVEOLAR LAVAGE;CERVICAL VERTEBRAE;CONTUSIONS;HUMANS;MYOCARDIUM;RESPIRATORY ASPIRATION;RIB FRACTURES;TEXTILES"	NA	"INSTITUT FR RECHTSMEDIZIN BONN,UNIVERSITTSKLINIKUM BONN,STIFTSPLATZ 12,BONN 53111,GERMANY; INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT BONN,GERMANY"	"INSTITUT FR RECHTSMEDIZIN BONN,UNIVERSITTSKLINIKUM BONN,STIFTSPLATZ 12,BONN 53111,GERMANY; INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT BONN,GERMANY"	"10.1007/s00414-009-0409-9"	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"ARTICLE"	"Scopus"	";FIBRES;PILLOW;SMOTHERING;TRACHEOBRONCHIAL LAVAGE"
"COMPARATIVE POPULATION STUDIES OF FIBRES SECURED IN POLAND, CZECH REPUBLIC AND GERMANY [PORWNAWCZE BADANIA POPULACYJNE WKIEN ZABEZPIECZONYCH W POLSCE, REPUBLICE CZESKIEJ I NIEMCZECH]"	2004	"WAS-GUBALA J"	""	""	"CLASSIFICATION;  FIBRE;  POPULATION RESEARCH"	"ARTICLE;COLOR;COMPARATIVE STUDY;CZECH REPUBLIC;FIBER;FORENSIC SCIENCE;GERMANY;POLAND;POPULATION RESEARCH;TEXTILE"	NA	"INSTITUTE OF FORENSIC RESEARCH,CRACOW,POLAND"	"INSTITUTE OF FORENSIC RESEARCH,CRACOW,POLAND"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"ARTICLE"	"Scopus"	";CLASSIFICATION;FIBRE;POPULATION RESEARCH"
"COMPARING THE COLOR OF FORENSIC TRACES"	2012	"ZIEBA-PALUS J;TRZCINSKA BM"	"COLOR COMPARISON; FORENSIC TRACES; VIS SPECTROSCOPY"	"THIN-LAYER-CHROMATOGRAPHY; BALLPOINT PEN INKS; REFLECTANCE FACTOR; DISTRIBUTION; SINGLE TEXTILE FIBERS; INFRARED-SPECTROSCOPY; AUTOMOTIVE; PAINTS; DISCRIMINATION; BLACK; MICROSPECTROPHOTOMETRY; CLASSIFICATION"	"COLOR COMPARISON;  FORENSIC TRACES;  VIS SPECTROSCOPY"	"NA"	"ZIEBA-PALUS, J (CORRESPONDING AUTHOR), INST FORENS RES, ST WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; ZIEBA-PALUS, JANINA; TRZCINSKA, BEATA M, INST FORENS RES, PL-31033 KRAKOW, POLAND"	"INSTITUTE OF FORENSIC RESEARCH,CRIMINALISTIC,ST. WESTERPLATTE 9,31-033 KRAKOW,POLAND"	"INSTITUTE OF FORENSIC RESEARCH,CRIMINALISTIC,ST. WESTERPLATTE 9,31-033 KRAKOW,POLAND"	"10.1080/00032719.2012.675483"	"ANALYTICAL LETTERS"	"ARTICLE"	"Scopus,WebOfScience"	"COLOR COMPARISON;FORENSIC TRACES;VIS SPECTROSCOPY"
"COMPUTER-AIDED DATA HANDLING IN CASEWORK"	2001	"BIERMANN TW;DECK S"	""	""	"CASEWORK;  DATA EVALUATION;  FIBRES;  SPECTRAL COMPARISON"	"COMPUTER;CONFERENCE PAPER;DATA ANALYSIS;DOCUMENTATION;FIBER;FORENSIC SCIENCE;INFORMATION PROCESSING"	NA	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY"	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"CONFERENCE PAPER"	"Scopus"	";CASEWORK;DATA EVALUATION;FIBRES;SPECTRAL COMPARISON"
