"","Authors","AuthorID","Title","Year","Source.title","Volume","Issue","Art..No.","Page.start","Page.end","Page.count","Cited.by","DOI","Link","Affiliations","Authors.with.affiliations","Author.Keywords","Index.Keywords","ID","Document.Type","Publication.Stage","Access.Type","Source","EID","Coder"
"335","Suga K., Narita Y., Suzuki S.","56040859000;56040766100;8654989200;","A simple solubility tests for the discrimination of acrylic and modacrylic fibers",2014,"Journal of Forensic Sciences","59","3",NA,"750","753",NA,1,"10.1111/1556-4029.12370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899074413&doi=10.1111%2f1556-4029.12370&partnerID=40&md5=e0f8a27058c33aec7a6e94a856cd5e1b","Forensic Science Laboratory, Kagawa Prefecture Police H.Q., 4-1-10 Bancho, Takamatsu-shi, Kagawa Prefecture, 760-857, Japan; Forensic Science Laboratory, Hakodate branch of Hokkaido Prefecture Police H.Q., 15-5 Goryokaku-cho, Hakodate-shi, Hokkaido, 040-8511, Japan; National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa-shi, Chiba-prefecture, 277-0882, Japan","Suga, K., Forensic Science Laboratory, Kagawa Prefecture Police H.Q., 4-1-10 Bancho, Takamatsu-shi, Kagawa Prefecture, 760-857, Japan; Narita, Y., Forensic Science Laboratory, Hakodate branch of Hokkaido Prefecture Police H.Q., 15-5 Goryokaku-cho, Hakodate-shi, Hokkaido, 040-8511, Japan; Suzuki, S., National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa-shi, Chiba-prefecture, 277-0882, Japan","Acrylic fiber; Dissolution test; Fiber; Forensic science; Modacrylic; N,N-dimethylformamide; Trace physical evidence","","","Article","Final","","Scopus","2-s2.0-84899074413","2016 report"
"336","Fei J., Yang J., Zhou H., Tang M., Lu W., Yan A., Hou Y., Zhang S.","55659659000;57192453014;57198956380;36832160500;56029309200;56030175100;56030102700;57215375310;","A novel method for identifying shahtoosh",2014,"Journal of Forensic Sciences","59","3",NA,"723","728",NA,4,"10.1111/1556-4029.12374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899096995&doi=10.1111%2f1556-4029.12374&partnerID=40&md5=46bf7d67615af2ab5a0ca8ba71592cec","Shanghai Entry-exit Inspection and Quarantine Bureau, Shanghai, P.R.C., No. 1208, Minsheng Road, Pudong New Area, Shanghai, China; Beijing Entry-exit Inspection and Quarantine Bureau, Beijing, P.R.C., No. 6 Tianshuiyuan Road, Chaoyang District, Beijing, China; School of Radiation Medicine and Protection, Medical College of Soochow University, No. 199, Renai Road, Suzhou Industrial District, Suzhou, Jiangsu Province, China","Fei, J., Shanghai Entry-exit Inspection and Quarantine Bureau, Shanghai, P.R.C., No. 1208, Minsheng Road, Pudong New Area, Shanghai, China; Yang, J., Shanghai Entry-exit Inspection and Quarantine Bureau, Shanghai, P.R.C., No. 1208, Minsheng Road, Pudong New Area, Shanghai, China; Zhou, H., Shanghai Entry-exit Inspection and Quarantine Bureau, Shanghai, P.R.C., No. 1208, Minsheng Road, Pudong New Area, Shanghai, China; Tang, M., Shanghai Entry-exit Inspection and Quarantine Bureau, Shanghai, P.R.C., No. 1208, Minsheng Road, Pudong New Area, Shanghai, China; Lu, W., Shanghai Entry-exit Inspection and Quarantine Bureau, Shanghai, P.R.C., No. 1208, Minsheng Road, Pudong New Area, Shanghai, China; Yan, A., Beijing Entry-exit Inspection and Quarantine Bureau, Beijing, P.R.C., No. 6 Tianshuiyuan Road, Chaoyang District, Beijing, China; Hou, Y., Beijing Entry-exit Inspection and Quarantine Bureau, Beijing, P.R.C., No. 6 Tianshuiyuan Road, Chaoyang District, Beijing, China; Zhang, S., School of Radiation Medicine and Protection, Medical College of Soochow University, No. 199, Renai Road, Suzhou Industrial District, Suzhou, Jiangsu Province, China","DNA; Forensic science; Shahtoosh; Species identify; TaqMan polymerase chain reaction; Tibetan antelope","DNA probe; mitochondrial DNA; primer DNA; ribosome RNA; RNA, ribosomal, 12S; animal; antelope; DNA fingerprinting; DNA probe; environmental protection; genetics; microscopy; procedures; real time polymerase chain reaction; species difference; ultrastructure; wool; Animals; Antelopes; Conservation of Natural Resources; DNA Fingerprinting; DNA Primers; DNA Probes; DNA, Mitochondrial; Microscopy; Real-Time Polymerase Chain Reaction; RNA, Ribosomal; Species Specificity; Wool","","Article","Final","","Scopus","2-s2.0-84899096995","2016 report"
"337","Paolella S., Bencivenni M., Lambertini F., Prandi B., Faccini A., Tonetti C., Vineis C., Sforza S.","55317763300;36336759300;55257227300;54941575000;8427956000;35085597900;6701745106;6701510269;","Identification and quantification of different species in animal fibres by LC/ESI-MS analysis of keratin-derived proteolytic peptides",2013,"Journal of Mass Spectrometry","48","8",NA,"919","926",NA,12,"10.1002/jms.3222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881111892&doi=10.1002%2fjms.3222&partnerID=40&md5=bef4c58e14a6af2bbb2abac374bc9413","Department of Food Science, University Campus, University of Parma, Parco Area delle Scienze 95a, I-43124, Parma, Italy; Interdipartimental Center for Measurements, University of Parma, Parma, Italy; CNR-ISMAC, Institute for Macromolecular Studies, Biella, Italy","Paolella, S., Department of Food Science, University Campus, University of Parma, Parco Area delle Scienze 95a, I-43124, Parma, Italy; Bencivenni, M., Department of Food Science, University Campus, University of Parma, Parco Area delle Scienze 95a, I-43124, Parma, Italy; Lambertini, F., Department of Food Science, University Campus, University of Parma, Parco Area delle Scienze 95a, I-43124, Parma, Italy; Prandi, B., Department of Food Science, University Campus, University of Parma, Parco Area delle Scienze 95a, I-43124, Parma, Italy; Faccini, A., Interdipartimental Center for Measurements, University of Parma, Parma, Italy; Tonetti, C., CNR-ISMAC, Institute for Macromolecular Studies, Biella, Italy; Vineis, C., CNR-ISMAC, Institute for Macromolecular Studies, Biella, Italy; Sforza, S., Department of Food Science, University Campus, University of Parma, Parco Area delle Scienze 95a, I-43124, Parma, Italy","animal fibres; enzymatic digestion; LC/ESI-MS; peptide markers; wool identification","Animal fibre; Electrospray mass spectrometry; Enzymatic digestions; High resolution mass spectrometry; LC/ESI-MS; Species determination; Species-specific markers; Technological treatment; Keratin; Liquid chromatography; Mass spectrometry; Textile fibers; Wool; Yarn; Peptides; keratin; peptide; trypsin; amino acid sequence; article; electrospray mass spectrometry; liquid chromatography; nonhuman; peptide analysis; priority journal; proteomics; qualitative analysis; quantitative analysis; sensitivity and specificity; sheep; species difference; wool; yak; animal fibres; enzymatic digestion; LC/ESI-MS; peptide markers; wool identification; Amino Acid Sequence; Animals; Cattle; Chromatography, High Pressure Liquid; Goats; Keratins; Molecular Sequence Data; Peptide Fragments; Proteomics; Reproducibility of Results; Sensitivity and Specificity; Sheep; Spectrometry, Mass, Electrospray Ionization; Trypsin; Wool","","Article","Final","","Scopus","2-s2.0-84881111892","2016 report"
"338","Tridico S.R., Houck M.M., Kirkbride K.P., Smith M.E., Yates B.C.","34267883800;7006244647;56337473100;57198459921;37022045600;","Morphological identification of animal hairs: Myths and misconceptions, possibilities and pitfalls",2014,"Forensic Science International",NA,"",NA,"101","107",NA,14,"10.1016/j.forsciint.2014.02.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897384316&doi=10.1016%2fj.forsciint.2014.02.023&partnerID=40&md5=0e0f0866234497898ffde637060fba73","Australian Wildlife Forensic Laboratory, Veterinary and Life Sciences, Murdoch University, Perth, WA, 6150, Australia; Department of Forensic Sciences, Consolidated Forensic Laboratory, 401 E Street SW, Washington, DC 20024, United States; School of Chemical and Physical Sciences, Flinders University, GPO Box 2100, Adelaide, SA, 5001, Australia; Morphology National Fish and Wildlife Forensics Laboratory, 1490 East Main Street, Ashland, OR 97520, United States","Tridico, S.R., Australian Wildlife Forensic Laboratory, Veterinary and Life Sciences, Murdoch University, Perth, WA, 6150, Australia; Houck, M.M., Department of Forensic Sciences, Consolidated Forensic Laboratory, 401 E Street SW, Washington, DC 20024, United States; Kirkbride, K.P., School of Chemical and Physical Sciences, Flinders University, GPO Box 2100, Adelaide, SA, 5001, Australia; Smith, M.E., Morphology National Fish and Wildlife Forensics Laboratory, 1490 East Main Street, Ashland, OR 97520, United States; Yates, B.C., Morphology National Fish and Wildlife Forensics Laboratory, 1490 East Main Street, Ashland, OR 97520, United States","Animal hairs; Human hairs; Microscopy; Morphology; SWGWILD; Wildlife forensic","accreditation; article; awareness; cat; DNA determination; dog; forensic identification; hair analysis; human; literature; microscopy; morphology; nomenclature; nonhuman; practice guideline; priority journal; reliability; taxonomy; animal; book; forensic science; hair; light; photography; professional competence; scanning electron microscopy; species difference; ultrastructure; Animals; Forensic Sciences; Hair; Humans; Light; Microscopy; Microscopy, Electron, Scanning; Photography; Professional Competence; Reference Books; Species Specificity; Terminology as Topic","","Article","Final","","Scopus","2-s2.0-84897384316","2016 report"
"339","Hess S.","","Collaborative Exercise 2015 results",2015,"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"340","Haugan E., Holst B.","55847448200;7005868129;","Determining the fibrillar orientation of bast fibres with polarized light microscopy: The modified Herzog test (red plate test) explained",2013,"Journal of Microscopy",NA,"2",NA,"159","168",NA,16,"10.1111/jmi.12079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885847059&doi=10.1111%2fjmi.12079&partnerID=40&md5=c3ae1fa871945e853f2c51fbb0a3ccd9","Department of Physics and Technology, University of Bergen, Bergen, Norway","Haugan, E., Department of Physics and Technology, University of Bergen, Bergen, Norway; Holst, B., Department of Physics and Technology, University of Bergen, Bergen, Norway","Fibrillar orientation; Herzog test; Plant fibre identification; Polarized light microscopy; Red plate test","analytic method; analyzer; article; bast fiber; birefringence; cell wall; cotton; herzog test; nonhuman; plant cell; polarization microscopy; priority journal; refraction index; textile fiber; Fibrillar orientation; Herzog test; plant fibre identification; polarized light microscopy; red plate test; Algorithms; Cell Wall; Microfibrils; Microscopy, Polarization; Plants; Textiles","","Article","Final","","Scopus","2-s2.0-84885847059","2016 report"
"341","Jochem G.","","Collaborative Exercise 2014 results",2014,"Proceedings of the 22nd ENFSI Textile & Hair Group Meeting, Düsseldorf",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"342","Morgan S.L.","","Evaluation of Statistical Measures for Fiber Comparisons: Interlaboratory Studies and Forensic Databases",2014,"U.S. Department of Justice",NA,"",NA,"248386",NA,NA,NA,"","https://www.ncjrs.gov/pdffiles1/nij/grants/248386.pdf","","","","","","Report","","","","","2016 report"
"343","","","Worldwide Manufactured Fiber Production",2014,"Fiber Economics Bureau",NA,"",NA,NA,NA,NA,NA,"","http://www.fibersource.com/f-info/FiberProduction.pdf","","","","","","Website","","","","","2016 report"
"344","Phan K.-H.","","Animal fibres",2014,"Proceedings of the 22nd ENFSI Textile & Hair Group Meeting, Düsseldorf",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"345","Krzysko J.","","Insight Denim-Dyeing with Indigo in Denim Production",2014,"Proceedings of the 22nd ENFSI Textile & Hair Group Meeting, Düsseldorf",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"346","Batchelor S.N.","7006083032;","New insights into dye chemistry and physics",2015,"Coloration Technology",NA,"2",NA,"81","93",NA,2,"10.1111/cote.12138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925164118&doi=10.1111%2fcote.12138&partnerID=40&md5=bd950e057702d79ae7bcbec6424e9aa7","Unilever Research Port Sunlight, Bebington, Wirral, Cheshire, CH63 3JW, United Kingdom","Batchelor, S.N., Unilever Research Port Sunlight, Bebington, Wirral, Cheshire, CH63 3JW, United Kingdom","","Azo dyes; Cellulose; Citrus fruits; Electronic structure; Photooxidation; Solutions; Cellulosic material; Detailed modeling; Diffusion measurements; Dye identification; Microviscosities; One-electron reductions; Reduction mechanisms; Substrate structure; Substrates","","Article","Final","","Scopus","2-s2.0-84925164118","2016 report"
"347","Hayward A.","","Factors influencing optical properties fibres",2015,"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"348","Gutovska I.","","Artificial Suede",2015,"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"349","","","BISFA",NA,"The International Bureau for Standardisation of Man-made Fibres",NA,"",NA,NA,NA,NA,NA,"","http://www.bisfa.org/","","","","","","Website","","","","","2016 report"
"350","","","CIRFS",NA,"European Man-made Fibres Association",NA,"",NA,NA,NA,NA,NA,"","http://www.cirfs.org/","","","","","","Website","","","","","2016 report"
"351","","","Textile World. Textile Industries Media Group",NA,"",NA,"",NA,NA,NA,NA,NA,"","http://www.textileworld.com/","","","","","","Website","","","","","2016 report"
"352","Kiekens P.","","New developments in textile industry",2016,"Personal communication",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Communication","","","","","2016 report"
"353","Chisnall R.C.","23024050500;","Structural recognition and nomenclature standardization in forensic knot analysis",2016,"Science and Justice","56","4",NA,"282","301",NA,1,"10.1016/j.scijus.2016.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974577321&doi=10.1016%2fj.scijus.2016.04.002&partnerID=40&md5=a14bcb14c06aeeea8b919641eec987ed","60 Dauphin Avenue, Kingston, ON  K7K 6B1, Canada","Chisnall, R.C., 60 Dauphin Avenue, Kingston, ON  K7K 6B1, Canada","Chirality; Forensic; Knots; Nomenclature; Structure; Topology","chirality; forensic identification; forensic knot analysis; forensic science; human; nomenclature; Review; standardization; textile industry","","Review","Final","","Scopus","2-s2.0-84974577321","2016 report"
"354","","","ENFSI Guideline for Evaluative Reporting in Forensic Science",2015,"European Network of Forensic Science Institutes",NA,"",NA,NA,NA,NA,NA,"","http://enfsi.eu/sites/default/files/documents/external_publications/m1_guideline.pdf","","","","","","Report","","","","","2016 report"
"355","Marquis R., Biedermann A., Cadola L., Champod C., Gueissaz L., Massonnet G., Mazzella W.D., Taroni F., Hicks T.","8326464900;7004542967;55858546800;6603229803;35762616000;6603429626;6602665543;57203030918;7102917975;","Discussion on how to implement a verbal scale in a forensic laboratory: Benefits, pitfalls and suggestions to avoid misunderstandings",2016,"Science and Justice","56","5",NA,"364","370",NA,21,"10.1016/j.scijus.2016.05.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976482599&doi=10.1016%2fj.scijus.2016.05.009&partnerID=40&md5=5566e33fab5c692f5d0b853a021e5bce","School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland","Marquis, R., School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland; Biedermann, A., School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland; Cadola, L., School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland; Champod, C., School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland; Gueissaz, L., School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland; Massonnet, G., School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland; Mazzella, W.D., School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland; Taroni, F., School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland; Hicks, T., School of Criminal Justice, University of Lausanne, 1015 Dorigny, Switzerland","Interpretation; Likelihood ratio; Probative value; Statement; Verbal scale","court; human; human experiment; monitoring; probability; recipient; scientist; statistical model; forensic science; interpersonal communication; nomenclature; Communication; Forensic Sciences; Humans; Likelihood Functions; Terminology as Topic","","Note","Final","","Scopus","2-s2.0-84976482599","2016 report"
"356","Johansson S.","","Evidence evaluation at NFC",2015,"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"357","Palmer R.","","",2015,"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"358","Palmer R.","","Fibres under fire: the CAI and Bayesian Framework",2015," Proceedings of the 7th European Academy of Forensic Science Conference, Praha",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"359","Palmer R.","","The evaluation of fibre evidence in the investigation of serious crime",2016,"",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Thesis","","","","","2016 report"
"360","Vooijs C., Vergeer P., van der Weerd J.","56568366700;55934057200;6603650278;","Towards source level evaluation of the evidential value of fibre examinations",2015,"Forensic Science International",NA,"",NA,"57","67",NA,2,"10.1016/j.forsciint.2015.02.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925431061&doi=10.1016%2fj.forsciint.2015.02.009&partnerID=40&md5=4455bbfdc440232d14a9a758fca82fc6","Netherlands Forensic Institute, P.O. Box 24044, The Hague, 2490AA, Netherlands","Vooijs, C., Netherlands Forensic Institute, P.O. Box 24044, The Hague, 2490AA, Netherlands; Vergeer, P., Netherlands Forensic Institute, P.O. Box 24044, The Hague, 2490AA, Netherlands; van der Weerd, J., Netherlands Forensic Institute, P.O. Box 24044, The Hague, 2490AA, Netherlands","Discrimination power; Discrimination study; Fiber evidence; Likelihood ratio LR; Match; Numerical evaluation; Population study","accuracy; Article; crime; discriminant analysis; forensic fiber examination; forensic identification; glove; legal evidence; priority journal; probability; protective clothing; statistical model; textile fiber; validation process","","Article","Final","","Scopus","2-s2.0-84925431061","2016 report"
"361","Peets P., Leito I., Pelt J., Vahur S.","57163902600;6701397469;7004114545;16029804600;","Identification and classification of textile fibres using ATR-FT-IR spectroscopy with chemometric methods",2017,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","173","",NA,"175","181",NA,25,"10.1016/j.saa.2016.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987898699&doi=10.1016%2fj.saa.2016.09.007&partnerID=40&md5=06e1220d13dd4468c05b5ecef07aa4b1","University of Tartu, Institute of Chemistry, 14a Ravila str, Tartu, 50411, Estonia; Tartu Observatory, Tõravere, 61602, Estonia","Peets, P., University of Tartu, Institute of Chemistry, 14a Ravila str, Tartu, 50411, Estonia; Leito, I., University of Tartu, Institute of Chemistry, 14a Ravila str, Tartu, 50411, Estonia; Pelt, J., Tartu Observatory, Tõravere, 61602, Estonia; Vahur, S., University of Tartu, Institute of Chemistry, 14a Ravila str, Tartu, 50411, Estonia","ATR-FT-IR spectroscopy; Classification; Discriminant analysis; Fibres; Principal component analysis; Textiles","Chromatography; Classification (of information); Cotton; Discriminant analysis; Fibers; Flax; Linen; Silk; Spacecraft instruments; Spectrum analysis; Textile blends; Textile fibers; Textiles; Wool; Yarn; ATR FT-IR spectroscopies; Chemometric method; Content determination; Principal Components; Semi-quantitative analysis; Single components; Structural inhomogeneities; Textile materials; Principal component analysis",NA,"Article","Final","","Scopus","2-s2.0-84987898699","2019 report"
"362","Muehlethaler C., Leona M., Lombardi J.R.","36990536700;57204298589;7007059776;","Towards a validation of surface-enhanced Raman scattering (SERS) for use in forensic science: repeatability and reproducibility experiments",2016,"Forensic Science International","268","",NA,"1","13",NA,21,"10.1016/j.forsciint.2016.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988405290&doi=10.1016%2fj.forsciint.2016.09.005&partnerID=40&md5=fc2d3a656cf4bd1e1d2b1a541291a76a","The Metropolitan Museum of Art, Department of Scientific Research, New York, United States; The City College of New York and Graduate Center of the City University of New York, Department of Chemistry, United States","Muehlethaler, C., The Metropolitan Museum of Art, Department of Scientific Research, New York, United States, The City College of New York and Graduate Center of the City University of New York, Department of Chemistry, United States; Leona, M., The Metropolitan Museum of Art, Department of Scientific Research, New York, United States; Lombardi, J.R., The City College of New York and Graduate Center of the City University of New York, Department of Chemistry, United States","Crystal violet; Methamphetamine; multivariate statistics; Nanoparticles; Silver colloids; TNT","crystal violet; methamphetamine; trinitrotoluene; analytic method; Article; binding affinity; forensic science; measurement accuracy; priority journal; qualitative analysis; quantitative analysis; Raman spectrometry; reproducibility; validation study",NA,"Article","Final","","Scopus","2-s2.0-84988405290","2019 report"
"363","Meyer L., MacDonald S., Skinner R.","","Cotton and Wool Outlook",2008,"Cotton and Wool Outlook","","",NA,NA,NA,NA,15,"","","","Meyer, L.; MacDonald, S.; Skinner, R.","","",NA,"","Final","","Scopus","2-s2.0-84879460485","2019 report"
"364","França de Sá S., Ferreira J.L., Matos A.S., Macedo R., Ramos A.M.","57192250582;35480164500;25029796200;56682160100;7401770048;","A new insight into polyurethane foam deterioration – the use of Raman microscopy for the evaluation of long-term storage conditions",2016,"Journal of Raman Spectroscopy","47","12",NA,"1494","1504",NA,11,"10.1002/jrs.4984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001968803&doi=10.1002%2fjrs.4984&partnerID=40&md5=bc5c2ed312198162f5b82fb02b649adb","Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; LAQV-REQUIMTE, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; Instituto de História da Arte, Faculdade de Ciências Sociais e Humanas, Universidade NOVA de Lisboa, Avenida de Berna, 26-C, Lisbon, 1069-061, Portugal; UNIDEMI, Departamento de Engenharia Mecânica e Industrial, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal","França de Sá, S., Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal, LAQV-REQUIMTE, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; Ferreira, J.L., Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal, LAQV-REQUIMTE, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; Matos, A.S., UNIDEMI, Departamento de Engenharia Mecânica e Industrial, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; Macedo, R., Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal, Instituto de História da Arte, Faculdade de Ciências Sociais e Humanas, Universidade NOVA de Lisboa, Avenida de Berna, 26-C, Lisbon, 1069-061, Portugal; Ramos, A.M., Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal, LAQV-REQUIMTE, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal","conservation; long-term storage conditions; polyether-based polyurethane foam; Raman microscopy","",NA,"Article","Final","","Scopus","2-s2.0-85001968803","2019 report"
"365","Bitzer S., Heudt L., Barret A., George L., Van Dijk K., Gason F., Renard B.","56667447600;35080364900;57192374385;57196478893;57196481705;14038614100;56049681400;","The introduction of forensic advisors in Belgium and their role in the criminal justice system",2018,"Science and Justice","58","3",NA,"177","184",NA,9,"10.1016/j.scijus.2017.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033558005&doi=10.1016%2fj.scijus.2017.11.002&partnerID=40&md5=7d31bef64a3d725e007310565c210231","National Institute for Criminalistics and Criminology, Department of Criminology, Boulevard du Jardin Botanique 50, 1000, Brussels, Belgium; National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium","Bitzer, S., National Institute for Criminalistics and Criminology, Department of Criminology, Boulevard du Jardin Botanique 50, 1000, Brussels, Belgium; Heudt, L., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; Barret, A., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; George, L., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; Van Dijk, K., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; Gason, F., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; Renard, B., National Institute for Criminalistics and Criminology, Department of Criminology, Boulevard du Jardin Botanique 50, 1000, Brussels, Belgium","Communication; Cost-effectiveness; Decision-making; Forensic generalist; Triaging","Belgium; cost effectiveness analysis; criminal justice; criminology; decision making; human; sexual assault; article; homicide",NA,"Article","Final","","Scopus","2-s2.0-85033558005","2019 report"
"366","Nizio K.D., Ueland M., Stuart B.H., Forbes S.L.","55005740100;55832747800;7102231958;7102524526;","The analysis of textiles associated with decomposing remains as a natural training aid for cadaver-detection dogs",2017,"Forensic Chemistry","5","",NA,"33","45",NA,8,"10.1016/j.forc.2017.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021134261&doi=10.1016%2fj.forc.2017.06.002&partnerID=40&md5=dc09abb1e8682fb966d28c4ea9e71303","University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia","Nizio, K.D., University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia; Ueland, M., University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia; Stuart, B.H., University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia; Forbes, S.L., University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia","Buried remains; Cadaver-detection dogs; Forensic taphonomy; GC×GC-TOFMS; Natural training aids; Textiles","",NA,"Article","Final","","Scopus","2-s2.0-85021134261","2019 report"
"367","Sauzier G., Reichard E., van Bronswijk W., Lewis S.W., Goodpaster J.V.","55600124800;57192437463;35587577900;7404038754;55912901600;","Improving the confidence of “questioned versus known” fiber comparisons using microspectrophotometry and chemometrics",2016,"Forensic Chemistry","2","",NA,"15","21",NA,8,"10.1016/j.forc.2016.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006494099&doi=10.1016%2fj.forc.2016.08.001&partnerID=40&md5=6686e3a3584d0b6a9c373643faa17def","Department of Chemistry, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Nanochemistry Research Institute, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Department of Chemistry and Chemical Biology, Indiana University Purdue University Indianapolis, Indianapolis, IN  46202, United States","Sauzier, G., Department of Chemistry, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia, Nanochemistry Research Institute, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Reichard, E., Department of Chemistry and Chemical Biology, Indiana University Purdue University Indianapolis, Indianapolis, IN  46202, United States; van Bronswijk, W., Department of Chemistry, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Lewis, S.W., Department of Chemistry, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia, Nanochemistry Research Institute, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Goodpaster, J.V., Department of Chemistry and Chemical Biology, Indiana University Purdue University Indianapolis, Indianapolis, IN  46202, United States","Chemometrics; Forensic science; Microspectrophotometry; Textile fibers","",NA,"Article","Final","","Scopus","2-s2.0-85006494099","2019 report"
